Title:               Civilian Labor Force in Duplin County, NC
Series ID:           NCDUPL1LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  19043
1990-02-01  19240
1990-03-01  19396
1990-04-01  19739
1990-05-01  20109
1990-06-01  21039
1990-07-01  20573
1990-08-01  20090
1990-09-01  19774
1990-10-01  19729
1990-11-01  20000
1990-12-01  19562
1991-01-01  19760
1991-02-01  20204
1991-03-01  20165
1991-04-01  20399
1991-05-01  21008
1991-06-01  21668
1991-07-01  21457
1991-08-01  21187
1991-09-01  20537
1991-10-01  20431
1991-11-01  20599
1991-12-01  20100
1992-01-01  20708
1992-02-01  21076
1992-03-01  20707
1992-04-01  20748
1992-05-01  21199
1992-06-01  22012
1992-07-01  21886
1992-08-01  21501
1992-09-01  21001
1992-10-01  20943
1992-11-01  20919
1992-12-01  20594
1993-01-01  20871
1993-02-01  20895
1993-03-01  20621
1993-04-01  20742
1993-05-01  21082
1993-06-01  21583
1993-07-01  21838
1993-08-01  21518
1993-09-01  20741
1993-10-01  20873
1993-11-01  20592
1993-12-01  20103
1994-01-01  20010
1994-02-01  20281
1994-03-01  20287
1994-04-01  20198
1994-05-01  20921
1994-06-01  20718
1994-07-01  21824
1994-08-01  21768
1994-09-01  21324
1994-10-01  21224
1994-11-01  21006
1994-12-01  20666
1995-01-01  21721
1995-02-01  21937
1995-03-01  22269
1995-04-01  22278
1995-05-01  22452
1995-06-01  22964
1995-07-01  22966
1995-08-01  22941
1995-09-01  22375
1995-10-01  22823
1995-11-01  22671
1995-12-01  22140
1996-01-01  21858
1996-02-01  22043
1996-03-01  22208
1996-04-01  21926
1996-05-01  22886
1996-06-01  22918
1996-07-01  23611
1996-08-01  23264
1996-09-01  23154
1996-10-01  22962
1996-11-01  22968
1996-12-01  22553
1997-01-01  22486
1997-02-01  22491
1997-03-01  22701
1997-04-01  22364
1997-05-01  23025
1997-06-01  23413
1997-07-01  23639
1997-08-01  23306
1997-09-01  22667
1997-10-01  22890
1997-11-01  22340
1997-12-01  22034
1998-01-01  22000
1998-02-01  21738
1998-03-01  21917
1998-04-01  21986
1998-05-01  21808
1998-06-01  22539
