Title:               Resident Population in Durham County, NC
Series ID:           NCDURH8POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:21 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE          VALUE
1970-01-01  132.681
1971-01-01  134.500
1972-01-01  137.700
1973-01-01  141.200
1974-01-01  142.300
1975-01-01  143.100
1976-01-01  145.100
1977-01-01  148.000
1978-01-01  149.100
1979-01-01  151.300
1980-01-01  152.236
1981-01-01  154.775
1982-01-01  156.300
1983-01-01  158.220
1984-01-01  160.920
1985-01-01  163.959
1986-01-01  168.498
1987-01-01  172.475
1988-01-01  175.153
1989-01-01  178.875
1990-01-01  183.145
1991-01-01  187.554
1992-01-01  191.784
1993-01-01  196.046
1994-01-01  199.274
1995-01-01  202.872
1996-01-01  206.910
1997-01-01  211.756
1998-01-01  215.995
1999-01-01  219.811
2000-01-01  224.633
2001-01-01  229.527
2002-01-01  234.492
2003-01-01  236.910
2004-01-01  240.040
2005-01-01  243.789
2006-01-01  249.314
2007-01-01  255.765
2008-01-01  263.013
2009-01-01  269.628
2010-01-01  271.327
2011-01-01  276.881
2012-01-01  282.996
2013-01-01  288.960
2014-01-01  295.462
2015-01-01  301.174
2016-01-01  307.090
2017-01-01  311.640
