Title:               Real Gross Domestic Product by Industry: Private Industries: Manufacturing: Durable Goods Manufacturing for North Carolina
Series ID:           NCDURMANRQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Chained 2012 Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01  21808.1
2005-04-01  22554.0
2005-07-01  24283.9
2005-10-01  27083.4
2006-01-01  30545.6
2006-04-01  33063.0
2006-07-01  33884.5
2006-10-01  34769.5
2007-01-01  33928.4
2007-04-01  33362.7
2007-07-01  34235.8
2007-10-01  34384.7
2008-01-01  33973.6
2008-04-01  34708.1
2008-07-01  34288.3
2008-10-01  32284.5
2009-01-01  29688.1
2009-04-01  29076.5
2009-07-01  29960.7
2009-10-01  31580.7
2010-01-01  33325.7
2010-04-01  34270.2
2010-07-01  34531.0
2010-10-01  34874.9
2011-01-01  32727.1
2011-04-01  31846.3
2011-07-01  31742.8
2011-10-01  31458.7
2012-01-01  32745.1
2012-04-01  32829.8
2012-07-01  33456.3
2012-10-01  33665.8
2013-01-01  36401.9
2013-04-01  36953.0
2013-07-01  37324.6
2013-10-01  37562.9
2014-01-01  36112.3
2014-04-01  37408.6
2014-07-01  38676.3
2014-10-01  38311.2
2015-01-01  38813.2
2015-04-01  38240.7
2015-07-01  38780.4
2015-10-01  38195.2
2016-01-01  38612.5
2016-04-01  37421.2
2016-07-01  37646.2
2016-10-01  38131.2
2017-01-01  38188.3
2017-04-01  39423.9
2017-07-01  39427.9
2017-10-01  40248.2
2018-01-01  40528.2
2018-04-01  41133.8
