Title:               Accommodation and Food Services Earnings in North Carolina
Series ID:           NCEACC
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               Industry based on North American Industry Classification System
                     (NAICS). Please consult the U.S. Census Bureau
                     (http://www.census.gov/eos/www/naics/) for additional information
                     about NAICS.

DATE            VALUE
1998-01-01    4278972
1998-04-01    4364276
1998-07-01    4545104
1998-10-01    4655432
1999-01-01    4638740
1999-04-01    4699956
1999-07-01    4781872
1999-10-01    4978072
2000-01-01    4980364
2000-04-01    5128184
2000-07-01    5035284
2000-10-01    4953660
2001-01-01    4877696
2001-04-01    4769184
2001-07-01    4664452
2001-10-01    4669748
2002-01-01    4722640
2002-04-01    4913564
2002-07-01    4984652
2002-10-01    5004708
2003-01-01    4922032
2003-04-01    5019868
2003-07-01    5141180
2003-10-01    5269064
2004-01-01    5120072
2004-04-01    5292424
2004-07-01    5378572
2004-10-01    5434216
2005-01-01    5456696
2005-04-01    5510616
2005-07-01    5571132
2005-10-01    5643196
2006-01-01    5907252
2006-04-01    5923748
2006-07-01    6033532
2006-10-01    6190868
2007-01-01    6418628
2007-04-01    6480340
2007-07-01    6439972
2007-10-01    6522440
2008-01-01    6526320
2008-04-01    6499528
2008-07-01    6531948
2008-10-01    6461260
2009-01-01    6205336
2009-04-01    6293208
2009-07-01    6320624
2009-10-01    6287452
2010-01-01    6359160
2010-04-01    6463244
2010-07-01    6562576
2010-10-01    6566956
2011-01-01    6816604
2011-04-01    6908544
2011-07-01    7006116
2011-10-01    7116172
2012-01-01    7594092
2012-04-01    7629504
2012-07-01    7675208
2012-10-01    7813476
2013-01-01    7983968
2013-04-01    8085580
2013-07-01    8196772
2013-10-01    8306620
2014-01-01    8750868
2014-04-01    8969664
2014-07-01    9085528
2014-10-01    9269532
2015-01-01    9637072
2015-04-01    9740764
2015-07-01    9892260
2015-10-01    9977420
2016-01-01   10395292
2016-04-01   10508668
2016-07-01   10646340
2016-10-01   10727156
2017-01-01   10998012
2017-04-01   10920944
2017-07-01   11101688
2017-10-01   11146772
2018-01-01   11374952
2018-04-01   11481628
2018-07-01   11619597
