Title:               Residence Adjustment in North Carolina
Series ID:           NCEADJ
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               The adjustment for residence consists of adjustments for border
                     workers: income of U.S. residents commuting outside U.S. borders to
                     work less income of foreign residents commuting inside U.S. borders to
                     work plus certain Carribean seasonal workers.

DATE            VALUE
1998-01-01    -718796
1998-04-01    -723644
1998-07-01    -746360
1998-10-01    -762448
1999-01-01    -787564
1999-04-01    -801344
1999-07-01    -818364
1999-10-01    -820140
2000-01-01    -906936
2000-04-01    -912960
2000-07-01    -935944
2000-10-01    -927544
2001-01-01    -937696
2001-04-01    -944508
2001-07-01    -921472
2001-10-01    -917672
2002-01-01    -906688
2002-04-01    -912744
2002-07-01    -900668
2002-10-01    -877244
2003-01-01    -739224
2003-04-01    -735664
2003-07-01    -754056
2003-10-01    -793080
2004-01-01    -716672
2004-04-01    -742564
2004-07-01    -778436
2004-10-01    -788936
2005-01-01    -831836
2005-04-01    -810796
2005-07-01    -823032
2005-10-01    -838168
2006-01-01    -964100
2006-04-01    -986840
2006-07-01   -1019432
2006-10-01   -1068816
2007-01-01   -1250100
2007-04-01   -1233584
2007-07-01   -1219604
2007-10-01   -1257284
2008-01-01   -1276192
2008-04-01   -1276680
2008-07-01   -1278168
2008-10-01   -1254888
2009-01-01   -1012424
2009-04-01   -1039752
2009-07-01   -1069500
2009-10-01   -1062100
2010-01-01    -984728
2010-04-01    -963960
2010-07-01    -943152
2010-10-01    -954112
2011-01-01    -908652
2011-04-01    -892280
2011-07-01    -869608
2011-10-01    -892732
2012-01-01    -916344
2012-04-01    -924360
2012-07-01    -978220
2012-10-01    -936104
2013-01-01    -859016
2013-04-01    -839872
2013-07-01    -833272
2013-10-01    -857168
2014-01-01    -901896
2014-04-01    -861564
2014-07-01    -920672
2014-10-01    -926612
2015-01-01   -1137620
2015-04-01   -1110920
2015-07-01   -1108308
2015-10-01   -1136984
2016-01-01   -1283768
2016-04-01   -1278052
2016-07-01   -1322260
2016-10-01   -1368328
2017-01-01   -1341248
2017-04-01   -1374536
2017-07-01   -1372300
2017-10-01   -1410032
2018-01-01   -1424929
2018-04-01   -1544001
2018-07-01   -1527610
