Title:               Arts, Entertainment and Recreation Earnings in North Carolina
Series ID:           NCEART
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               Industry based on North American Industry Classification System
                     (NAICS). Please consult the U.S. Census Bureau
                     (http://www.census.gov/eos/www/naics/) for additional information
                     about NAICS.

DATE           VALUE
1998-01-01   1167228
1998-04-01   1247968
1998-07-01   1304844
1998-10-01   1333664
1999-01-01   1355084
1999-04-01   1323796
1999-07-01   1361012
1999-10-01   1436508
2000-01-01   1460396
2000-04-01   1469332
2000-07-01   1506060
2000-10-01   1610048
2001-01-01   1470064
2001-04-01   1526604
2001-07-01   1428036
2001-10-01   1533036
2002-01-01   1481924
2002-04-01   1532996
2002-07-01   1596236
2002-10-01   1565996
2003-01-01   1717776
2003-04-01   1687428
2003-07-01   1778924
2003-10-01   1840328
2004-01-01   1989500
2004-04-01   1930792
2004-07-01   1936284
2004-10-01   1861004
2005-01-01   1767300
2005-04-01   1879100
2005-07-01   1990608
2005-10-01   1974780
2006-01-01   2044912
2006-04-01   2125684
2006-07-01   2177504
2006-10-01   2316704
2007-01-01   2292880
2007-04-01   2399008
2007-07-01   2395640
2007-10-01   2432268
2008-01-01   2345820
2008-04-01   2321584
2008-07-01   2332540
2008-10-01   2370408
2009-01-01   2303716
2009-04-01   2347912
2009-07-01   2373672
2009-10-01   2455564
2010-01-01   2435440
2010-04-01   2443464
2010-07-01   2461216
2010-10-01   2465572
2011-01-01   2753572
2011-04-01   2562060
2011-07-01   3089628
2011-10-01   2799592
2012-01-01   2868284
2012-04-01   2939360
2012-07-01   2940760
2012-10-01   2962808
2013-01-01   3061564
2013-04-01   3094452
2013-07-01   3157512
2013-10-01   3243032
2014-01-01   3197424
2014-04-01   3246928
2014-07-01   3254112
2014-10-01   3279944
2015-01-01   3229344
2015-04-01   3243336
2015-07-01   3348972
2015-10-01   3316148
2016-01-01   3336660
2016-04-01   3374880
2016-07-01   3509708
2016-10-01   3559812
2017-01-01   3616252
2017-04-01   3571732
2017-07-01   3663264
2017-10-01   3708220
2018-01-01   3677590
2018-04-01   3799685
2018-07-01   3870980
