Title:               Construction Earnings in North Carolina
Series ID:           NCECON
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               Industry based on North American Industry Classification System
                     (NAICS). Please consult the U.S. Census Bureau
                     (http://www.census.gov/eos/www/naics/) for additional information
                     about NAICS.

DATE            VALUE
1998-01-01   10385044
1998-04-01   10884704
1998-07-01   11200100
1998-10-01   11669736
1999-01-01   11842096
1999-04-01   11903136
1999-07-01   12027140
1999-10-01   12266752
2000-01-01   12523296
2000-04-01   12770924
2000-07-01   12481456
2000-10-01   12318384
2001-01-01   12821656
2001-04-01   12757788
2001-07-01   12573880
2001-10-01   12484312
2002-01-01   12549196
2002-04-01   12679768
2002-07-01   12487860
2002-10-01   12300816
2003-01-01   12432400
2003-04-01   12314996
2003-07-01   12591940
2003-10-01   13086412
2004-01-01   12484452
2004-04-01   13180556
2004-07-01   13672812
2004-10-01   13951780
2005-01-01   13692696
2005-04-01   14322736
2005-07-01   14987240
2005-10-01   15263548
2006-01-01   16422136
2006-04-01   16407152
2006-07-01   16123760
2006-10-01   16476348
2007-01-01   16808080
2007-04-01   16895216
2007-07-01   16767428
2007-10-01   16739028
2008-01-01   16188088
2008-04-01   15801136
2008-07-01   14969980
2008-10-01   14298932
2009-01-01   13281140
2009-04-01   12704156
2009-07-01   12716424
2009-10-01   12586804
2010-01-01   12208416
2010-04-01   12304276
2010-07-01   12143620
2010-10-01   11733228
2011-01-01   12054920
2011-04-01   12380932
2011-07-01   12663256
2011-10-01   12751352
2012-01-01   13742976
2012-04-01   13816360
2012-07-01   14012132
2012-10-01   14365096
2013-01-01   14459560
2013-04-01   14642204
2013-07-01   14807944
2013-10-01   14871020
2014-01-01   15219832
2014-04-01   15743932
2014-07-01   16141556
2014-10-01   16454860
2015-01-01   16672032
2015-04-01   17235212
2015-07-01   17254300
2015-10-01   17564476
2016-01-01   17852524
2016-04-01   18164532
2016-07-01   18446440
2016-10-01   19031892
2017-01-01   19448852
2017-04-01   19504140
2017-07-01   20230328
2017-10-01   20576184
2018-01-01   20996129
2018-04-01   21807423
2018-07-01   22095724
