Title:               Real Gross Domestic Product by Industry: Private Industries: Educational Services, Health Care, and Social Assistance: Educational Services for North Carolina
Series ID:           NCEDCATRQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Chained 2012 Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE         VALUE
2005-01-01  4363.6
2005-04-01  4374.3
2005-07-01  4426.3
2005-10-01  4471.7
2006-01-01  4654.3
2006-04-01  4720.8
2006-07-01  4801.8
2006-10-01  4821.6
2007-01-01  4797.0
2007-04-01  4844.5
2007-07-01  4956.3
2007-10-01  5162.3
2008-01-01  5168.2
2008-04-01  5269.5
2008-07-01  5425.5
2008-10-01  5532.9
2009-01-01  5927.4
2009-04-01  5957.4
2009-07-01  5984.6
2009-10-01  5949.6
2010-01-01  6078.8
2010-04-01  6133.0
2010-07-01  6148.1
2010-10-01  6067.0
2011-01-01  6177.6
2011-04-01  6174.6
2011-07-01  6116.2
2011-10-01  6243.2
2012-01-01  6281.7
2012-04-01  6312.8
2012-07-01  6157.0
2012-10-01  5941.0
2013-01-01  5625.4
2013-04-01  5457.1
2013-07-01  5308.0
2013-10-01  5417.8
2014-01-01  5467.5
2014-04-01  5485.2
2014-07-01  5700.9
2014-10-01  5850.6
2015-01-01  6191.9
2015-04-01  6452.7
2015-07-01  6575.1
2015-10-01  6533.4
2016-01-01  6627.4
2016-04-01  6548.8
2016-07-01  6308.9
2016-10-01  6250.9
2017-01-01  5999.0
2017-04-01  5978.9
2017-07-01  6091.9
2017-10-01  6267.5
2018-01-01  6352.9
2018-04-01  6326.2
