Title:               Resident Population in Edgecombe County, NC
Series ID:           NCEDGE5POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  52.341
1971-01-01  52.100
1972-01-01  52.700
1973-01-01  52.900
1974-01-01  53.200
1975-01-01  54.000
1976-01-01  54.700
1977-01-01  55.200
1978-01-01  55.600
1979-01-01  56.200
1980-01-01  55.988
1981-01-01  56.314
1982-01-01  56.740
1983-01-01  56.905
1984-01-01  56.966
1985-01-01  57.697
1986-01-01  58.191
1987-01-01  58.457
1988-01-01  58.770
1989-01-01  57.400
1990-01-01  56.608
1991-01-01  56.575
1992-01-01  56.607
1993-01-01  56.572
1994-01-01  56.612
1995-01-01  57.001
1996-01-01  57.039
1997-01-01  56.885
1998-01-01  56.410
1999-01-01  56.291
2000-01-01  55.333
2001-01-01  55.136
2002-01-01  54.675
2003-01-01  54.288
2004-01-01  53.836
2005-01-01  53.484
2006-01-01  53.015
2007-01-01  52.376
2008-01-01  52.416
2009-01-01  51.829
2010-01-01  56.625
2011-01-01  56.059
2012-01-01  55.695
2013-01-01  55.454
2014-01-01  54.894
2015-01-01  53.770
2016-01-01  53.293
2017-01-01  52.747
