Title:               All Employees: Education and Health Services in North Carolina
Series ID:           NCEDUHN
Source:              U.S. Bureau of Labor Statistics
Release:             State Employment and Unemployment
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2018-12-24 12:37 PM CST
Notes:               

DATE        VALUE
1990-01-01  229.9
1990-02-01  233.2
1990-03-01  234.6
1990-04-01  235.6
1990-05-01  235.9
1990-06-01  236.3
1990-07-01  236.8
1990-08-01  239.9
1990-09-01  242.5
1990-10-01  243.5
1990-11-01  244.9
1990-12-01  245.7
1991-01-01  245.0
1991-02-01  246.5
1991-03-01  247.7
1991-04-01  248.3
1991-05-01  249.1
1991-06-01  249.0
1991-07-01  249.0
1991-08-01  251.3
1991-09-01  254.8
1991-10-01  256.0
1991-11-01  257.2
1991-12-01  258.3
1992-01-01  257.7
1992-02-01  260.1
1992-03-01  261.6
1992-04-01  263.0
1992-05-01  265.5
1992-06-01  266.8
1992-07-01  269.0
1992-08-01  270.9
1992-09-01  275.0
1992-10-01  277.4
1992-11-01  278.9
1992-12-01  281.4
1993-01-01  280.0
1993-02-01  284.2
1993-03-01  286.3
1993-04-01  286.9
1993-05-01  286.7
1993-06-01  286.1
1993-07-01  286.4
1993-08-01  287.4
1993-09-01  291.2
1993-10-01  292.9
1993-11-01  293.4
1993-12-01  294.3
1994-01-01  289.1
1994-02-01  291.8
1994-03-01  293.7
1994-04-01  296.0
1994-05-01  296.7
1994-06-01  297.5
1994-07-01  296.2
1994-08-01  297.7
1994-09-01  302.7
1994-10-01  303.7
1994-11-01  305.6
1994-12-01  306.7
1995-01-01  303.1
1995-02-01  306.3
1995-03-01  308.9
1995-04-01  309.5
1995-05-01  311.4
1995-06-01  312.2
1995-07-01  309.6
1995-08-01  311.3
1995-09-01  316.3
1995-10-01  318.9
1995-11-01  321.2
1995-12-01  322.3
1996-01-01  316.2
1996-02-01  320.4
1996-03-01  324.2
1996-04-01  324.3
1996-05-01  326.8
1996-06-01  325.8
1996-07-01  324.9
1996-08-01  327.4
1996-09-01  330.7
1996-10-01  334.1
1996-11-01  336.6
1996-12-01  338.4
1997-01-01  335.8
1997-02-01  340.4
1997-03-01  343.3
1997-04-01  344.6
1997-05-01  346.3
1997-06-01  345.8
1997-07-01  345.2
1997-08-01  346.2
1997-09-01  352.6
1997-10-01  354.8
1997-11-01  356.8
1997-12-01  357.8
1998-01-01  354.2
1998-02-01  357.2
1998-03-01  359.2
1998-04-01  359.1
1998-05-01  360.5
1998-06-01  358.8
1998-07-01  357.4
1998-08-01  359.7
1998-09-01  363.6
1998-10-01  366.1
1998-11-01  368.2
1998-12-01  368.4
1999-01-01  365.0
1999-02-01  369.0
1999-03-01  370.7
1999-04-01  372.7
1999-05-01  372.0
1999-06-01  371.3
1999-07-01  370.7
1999-08-01  372.1
1999-09-01  376.2
1999-10-01  378.8
1999-11-01  379.9
1999-12-01  380.9
2000-01-01  375.3
2000-02-01  379.1
2000-03-01  381.3
2000-04-01  382.0
2000-05-01  382.9
2000-06-01  384.0
2000-07-01  384.2
2000-08-01  385.9
2000-09-01  388.0
2000-10-01  389.2
2000-11-01  390.8
2000-12-01  391.6
2001-01-01  394.2
2001-02-01  397.8
2001-03-01  400.6
2001-04-01  403.2
2001-05-01  404.6
2001-06-01  405.3
2001-07-01  405.1
2001-08-01  408.7
2001-09-01  410.2
2001-10-01  412.4
2001-11-01  414.3
2001-12-01  415.7
2002-01-01  413.6
2002-02-01  417.5
2002-03-01  419.2
2002-04-01  424.2
2002-05-01  424.9
2002-06-01  423.4
2002-07-01  420.4
2002-08-01  423.8
2002-09-01  425.7
2002-10-01  429.0
2002-11-01  430.2
2002-12-01  430.2
2003-01-01  425.9
2003-02-01  428.9
2003-03-01  430.9
2003-04-01  432.3
2003-05-01  433.4
2003-06-01  432.6
2003-07-01  432.1
2003-08-01  436.5
2003-09-01  438.9
2003-10-01  440.5
2003-11-01  441.6
2003-12-01  443.4
2004-01-01  437.7
2004-02-01  440.6
2004-03-01  443.7
2004-04-01  448.0
2004-05-01  449.6
2004-06-01  448.9
2004-07-01  449.2
2004-08-01  453.0
2004-09-01  456.3
2004-10-01  457.6
2004-11-01  459.9
2004-12-01  461.3
2005-01-01  457.6
2005-02-01  461.0
2005-03-01  464.5
2005-04-01  465.6
2005-05-01  467.0
2005-06-01  465.5
2005-07-01  466.9
2005-08-01  471.8
2005-09-01  476.0
2005-10-01  476.8
2005-11-01  479.5
2005-12-01  479.3
2006-01-01  479.2
2006-02-01  483.2
2006-03-01  485.9
2006-04-01  487.4
2006-05-01  489.5
2006-06-01  489.5
2006-07-01  489.9
2006-08-01  494.5
2006-09-01  498.1
2006-10-01  502.4
2006-11-01  505.9
2006-12-01  507.4
2007-01-01  502.3
2007-02-01  508.7
2007-03-01  512.3
2007-04-01  515.0
2007-05-01  517.7
2007-06-01  517.4
2007-07-01  514.6
2007-08-01  520.4
2007-09-01  523.5
2007-10-01  528.1
2007-11-01  530.9
2007-12-01  531.9
2008-01-01  523.9
2008-02-01  528.9
2008-03-01  529.4
2008-04-01  529.0
2008-05-01  531.5
2008-06-01  529.2
2008-07-01  526.3
2008-08-01  529.9
2008-09-01  533.2
2008-10-01  534.1
2008-11-01  537.8
2008-12-01  537.9
2009-01-01  532.2
2009-02-01  536.6
2009-03-01  536.4
2009-04-01  537.0
2009-05-01  538.7
2009-06-01  536.4
2009-07-01  532.6
2009-08-01  535.9
2009-09-01  537.2
2009-10-01  539.4
2009-11-01  541.0
2009-12-01  539.6
2010-01-01  533.8
2010-02-01  535.8
2010-03-01  537.4
2010-04-01  538.0
2010-05-01  538.4
2010-06-01  533.8
2010-07-01  532.6
2010-08-01  534.4
2010-09-01  533.0
2010-10-01  541.0
2010-11-01  542.5
2010-12-01  540.2
2011-01-01  532.3
2011-02-01  538.5
2011-03-01  538.7
2011-04-01  541.3
2011-05-01  540.8
2011-06-01  536.6
2011-07-01  533.1
2011-08-01  536.1
2011-09-01  540.6
2011-10-01  544.8
2011-11-01  546.7
2011-12-01  546.0
2012-01-01  541.3
2012-02-01  546.1
