Title:               Durable Manufacturing Earnings in North Carolina
Series ID:           NCEDUR
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               Industry based on North American Industry Classification System
                     (NAICS). Please consult the U.S. Census Bureau
                     (http://www.census.gov/eos/www/naics/) for additional information
                     about NAICS.

DATE            VALUE
1998-01-01   15806100
1998-04-01   15601900
1998-07-01   16115396
1998-10-01   17021348
1999-01-01   16964468
1999-04-01   17165668
1999-07-01   17326532
1999-10-01   17915496
2000-01-01   18312320
2000-04-01   18716512
2000-07-01   18828280
2000-10-01   18404948
2001-01-01   18463088
2001-04-01   18027900
2001-07-01   17255208
2001-10-01   16987584
2002-01-01   16544356
2002-04-01   16507468
2002-07-01   16375264
2002-10-01   16101896
2003-01-01   15928708
2003-04-01   15808136
2003-07-01   16008992
2003-10-01   16287464
2004-01-01   16430664
2004-04-01   16704616
2004-07-01   17274664
2004-10-01   17240384
2005-01-01   17237432
2005-04-01   17364008
2005-07-01   17603932
2005-10-01   17611484
2006-01-01   18078600
2006-04-01   18184316
2006-07-01   17991972
2006-10-01   18466876
2007-01-01   18906948
2007-04-01   18540288
2007-07-01   18664124
2007-10-01   18553100
2008-01-01   18441168
2008-04-01   18304176
2008-07-01   17770336
2008-10-01   17308136
2009-01-01   15934232
2009-04-01   15455440
2009-07-01   15274504
2009-10-01   15558832
2010-01-01   15289792
2010-04-01   15552480
2010-07-01   15500532
2010-10-01   15960256
2011-01-01   16080784
2011-04-01   16039800
2011-07-01   16526824
2011-10-01   16095832
2012-01-01   17172576
2012-04-01   17036212
2012-07-01   17131652
2012-10-01   16938948
2013-01-01   17683952
2013-04-01   17835880
2013-07-01   17750604
2013-10-01   17651304
2014-01-01   17584840
2014-04-01   18011436
2014-07-01   18362288
2014-10-01   18624476
2015-01-01   19094124
2015-04-01   19016624
2015-07-01   19471244
2015-10-01   19265780
2016-01-01   19623340
2016-04-01   19177820
2016-07-01   19313204
2016-10-01   19756096
2017-01-01   19735016
2017-04-01   20491440
2017-07-01   20345496
2017-10-01   20487156
2018-01-01   20925651
2018-04-01   21173933
2018-07-01   21307703
