Title:               Information Earnings in North Carolina
Series ID:           NCEINF
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               Industry based on North American Industry Classification System
                     (NAICS). Please consult the U.S. Census Bureau
                     (http://www.census.gov/eos/www/naics/) for additional information
                     about NAICS.

DATE           VALUE
1998-01-01   3622976
1998-04-01   3911528
1998-07-01   3883556
1998-10-01   4115368
1999-01-01   4137892
1999-04-01   4252536
1999-07-01   4256932
1999-10-01   4212140
2000-01-01   4317028
2000-04-01   4480412
2000-07-01   4724280
2000-10-01   4772844
2001-01-01         .
2001-04-01         .
2001-07-01         .
2001-10-01         .
2002-01-01   4878268
2002-04-01   5031788
2002-07-01   5042344
2002-10-01   5040240
2003-01-01   5015640
2003-04-01   5066996
2003-07-01   5209804
2003-10-01   5142648
2004-01-01   5646080
2004-04-01   5654004
2004-07-01   5731964
2004-10-01   5816628
2005-01-01   5851528
2005-04-01   5479872
2005-07-01   5581128
2005-10-01   5807092
2006-01-01   5672692
2006-04-01   5764552
2006-07-01   5869264
2006-10-01   5915456
2007-01-01   6037948
2007-04-01   6176844
2007-07-01   6286152
2007-10-01   6478884
2008-01-01   6103052
2008-04-01   6108176
2008-07-01   6159376
2008-10-01   6229552
2009-01-01   5593232
2009-04-01   5778572
2009-07-01   5805352
2009-10-01   5995980
2010-01-01   5671608
2010-04-01   5566992
2010-07-01   5611404
2010-10-01   5681044
2011-01-01   5742484
2011-04-01   5652600
2011-07-01   5809368
2011-10-01   5869304
2012-01-01   6119972
2012-04-01   6022788
2012-07-01   6078460
2012-10-01   6199692
2013-01-01   6337292
2013-04-01   6366576
2013-07-01   6357940
2013-10-01   6498020
2014-01-01   7307112
2014-04-01   7107588
2014-07-01   7390332
2014-10-01   7410976
2015-01-01   7725720
2015-04-01   7803960
2015-07-01   7929404
2015-10-01   7758688
2016-01-01   7854696
2016-04-01   7842828
2016-07-01   7971164
2016-10-01   8259932
2017-01-01   7954364
2017-04-01   8003832
2017-07-01   8045940
2017-10-01   8375420
2018-01-01   8284805
2018-04-01   8440341
2018-07-01   8636686
