Title:               Net Earnings by Place of Residence in North Carolina
Series ID:           NCENET
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               Please visit http://research.stlouisfed.org/fred2/personalincome for
                     documentation on the derivation of personal income.

DATE             VALUE
1998-01-01   128547204
1998-04-01   130730428
1998-07-01   134047260
1998-10-01   137399264
1999-01-01   138321933
1999-04-01   139282333
1999-07-01   141654801
1999-10-01   143968993
2000-01-01   146510531
2000-04-01   149569411
2000-07-01   151800931
2000-10-01   152571411
2001-01-01   152782376
2001-04-01   153719216
2001-07-01   152674816
2001-10-01   153155424
2002-01-01   153056552
2002-04-01   155126160
2002-07-01   155775660
2002-10-01   155795312
2003-01-01   157633976
2003-04-01   159219496
2003-07-01   162057268
2003-10-01   166069276
2004-01-01   169133056
2004-04-01   173003140
2004-07-01   177300096
2004-10-01   179610984
2005-01-01   183919364
2005-04-01   184771316
2005-07-01   187822384
2005-10-01   190172436
2006-01-01   200000000
2006-04-01   201159256
2006-07-01   202851576
2006-10-01   207146972
2007-01-01   217048456
2007-04-01   216168028
2007-07-01   215486584
2007-10-01   217624584
2008-01-01   228518392
2008-04-01   226891208
2008-07-01   227212576
2008-10-01   229199688
2009-01-01   207697964
2009-04-01   213000272
2009-07-01   217082076
2009-10-01   220737660
2010-01-01   212308756
2010-04-01   215729172
2010-07-01   215635232
2010-10-01   216277872
2011-01-01   219496528
2011-04-01   220131628
2011-07-01   221437388
2011-10-01   221522820
2012-01-01   236349888
2012-04-01   238568228
2012-07-01   240151980
2012-10-01   241638356
2013-01-01   233716132
2013-04-01   234218796
2013-07-01   234362652
2013-10-01   236123524
2014-01-01   242629520
2014-04-01   243781284
2014-07-01   247640284
2014-10-01   250953764
2015-01-01   254985452
2015-04-01   257008516
2015-07-01   259974468
2015-10-01   261333032
2016-01-01   263431588
2016-04-01   264053608
2016-07-01   267432208
2016-10-01   272581132
2017-01-01   276479596
2017-04-01   279191216
2017-07-01   281624112
2017-10-01   284312168
2018-01-01   288219960
2018-04-01   293081572
2018-07-01   294097516
