Title:               Other Services (except Public Administration) Earnings in North Carolina
Series ID:           NCEOTH
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               Industry based on North American Industry Classification System
                     (NAICS). Please consult the U.S. Census Bureau
                     (http://www.census.gov/eos/www/naics/) for additional information
                     about NAICS.

DATE            VALUE
1998-01-01    6017660
1998-04-01    6112176
1998-07-01    6217684
1998-10-01    6276216
1999-01-01    6208500
1999-04-01    6349772
1999-07-01    6444188
1999-10-01    6652160
2000-01-01    6471024
2000-04-01    6600740
2000-07-01    6737864
2000-10-01    6798888
2001-01-01    6159664
2001-04-01    6100564
2001-07-01    6157956
2001-10-01    6198188
2002-01-01    6575284
2002-04-01    6704704
2002-07-01    6801328
2002-10-01    6863940
2003-01-01    6805652
2003-04-01    6857844
2003-07-01    6890188
2003-10-01    7009056
2004-01-01    7165176
2004-04-01    7193584
2004-07-01    7317864
2004-10-01    7284048
2005-01-01    7503980
2005-04-01    7512880
2005-07-01    7617704
2005-10-01    7677724
2006-01-01    7998436
2006-04-01    8119272
2006-07-01    8189076
2006-10-01    8326188
2007-01-01    8315424
2007-04-01    8299420
2007-07-01    8134964
2007-10-01    8201568
2008-01-01    7938544
2008-04-01    7806248
2008-07-01    7816916
2008-10-01    7901256
2009-01-01    7639836
2009-04-01    7809788
2009-07-01    7949584
2009-10-01    8135484
2010-01-01    8342252
2010-04-01    8506056
2010-07-01    8720088
2010-10-01    8740572
2011-01-01    8797512
2011-04-01    8824068
2011-07-01    8899376
2011-10-01    9017136
2012-01-01    9617116
2012-04-01    9724764
2012-07-01    9701068
2012-10-01    9782788
2013-01-01    9834416
2013-04-01    9744700
2013-07-01    9819316
2013-10-01   10000320
2014-01-01   10142676
2014-04-01   10414772
2014-07-01   10604660
2014-10-01   10726148
2015-01-01   10825436
2015-04-01   10856104
2015-07-01   10879708
2015-10-01   10847900
2016-01-01   10944456
2016-04-01   11061528
2016-07-01   11230780
2016-10-01   11445244
2017-01-01   11545296
2017-04-01   11515684
2017-07-01   11607272
2017-10-01   11730076
2018-01-01   11985891
2018-04-01   12043734
2018-07-01   12082804
