Title:               Retail Trade Earnings in North Carolina
Series ID:           NCERET
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               Industry based on North American Industry Classification System
                     (NAICS). Please consult the U.S. Census Bureau
                     (http://www.census.gov/eos/www/naics/) for additional information
                     about NAICS.

DATE            VALUE
1998-01-01   11587652
1998-04-01   12059932
1998-07-01   12097544
1998-10-01   12398180
1999-01-01   12565756
1999-04-01   12921136
1999-07-01   13141148
1999-10-01   13455636
2000-01-01   13370636
2000-04-01   13588644
2000-07-01   13638772
2000-10-01   13392204
2001-01-01   13397920
2001-04-01   13175260
2001-07-01   13093684
2001-10-01   13146772
2002-01-01   13345768
2002-04-01   13411672
2002-07-01   13526088
2002-10-01   13479272
2003-01-01   13580640
2003-04-01   13564216
2003-07-01   13875036
2003-10-01   14154132
2004-01-01   13943032
2004-04-01   14128128
2004-07-01   14333976
2004-10-01   14528492
2005-01-01   14399944
2005-04-01   14625928
2005-07-01   14743980
2005-10-01   14976708
2006-01-01   15254888
2006-04-01   15337900
2006-07-01   15429484
2006-10-01   15584848
2007-01-01   15810992
2007-04-01   15831264
2007-07-01   15615864
2007-10-01   15626572
2008-01-01   15770392
2008-04-01   15494932
2008-07-01   15285136
2008-10-01   15056888
2009-01-01   14211788
2009-04-01   14498280
2009-07-01   14648880
2009-10-01   14796344
2010-01-01   14759136
2010-04-01   15029524
2010-07-01   15015332
2010-10-01   14874292
2011-01-01   14857788
2011-04-01   14873580
2011-07-01   15032232
2011-10-01   15102460
2012-01-01   15702788
2012-04-01   15621300
2012-07-01   15675948
2012-10-01   15856760
2013-01-01   16232040
2013-04-01   16276608
2013-07-01   16338892
2013-10-01   16605296
2014-01-01   16884060
2014-04-01   17188328
2014-07-01   17233952
2014-10-01   17629464
2015-01-01   17699392
2015-04-01   17654936
2015-07-01   18061796
2015-10-01   18095644
2016-01-01   18319740
2016-04-01   18375912
2016-07-01   18478772
2016-10-01   18705288
2017-01-01   19078192
2017-04-01   18809812
2017-07-01   18996724
2017-10-01   19068628
2018-01-01   19449658
2018-04-01   19573284
2018-07-01   19738936
