Title:               Wholesale Trade Earnings in North Carolina
Series ID:           NCEWHO
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               Industry based on North American Industry Classification System
                     (NAICS). Please consult the U.S. Census Bureau
                     (http://www.census.gov/eos/www/naics/) for additional information
                     about NAICS.

DATE            VALUE
1998-01-01    7317236
1998-04-01    7537572
1998-07-01    7653872
1998-10-01    7751152
1999-01-01    7783288
1999-04-01    7853764
1999-07-01    7897168
1999-10-01    8013632
2000-01-01    8101596
2000-04-01    8366904
2000-07-01    8522812
2000-10-01    8730592
2001-01-01    8547400
2001-04-01    8638488
2001-07-01    8607504
2001-10-01    8504448
2002-01-01    8871484
2002-04-01    8995904
2002-07-01    9076856
2002-10-01    8966252
2003-01-01    9322396
2003-04-01    9432124
2003-07-01    9596188
2003-10-01    9783396
2004-01-01    9994544
2004-04-01   10345576
2004-07-01   10684196
2004-10-01   10906312
2005-01-01   10840916
2005-04-01   11044476
2005-07-01   11174356
2005-10-01   11408496
2006-01-01   11674348
2006-04-01   11792064
2006-07-01   11945164
2006-10-01   12141824
2007-01-01   12382992
2007-04-01   12541832
2007-07-01   12602724
2007-10-01   12742776
2008-01-01   12358896
2008-04-01   12665200
2008-07-01   12564428
2008-10-01   12305732
2009-01-01   11795620
2009-04-01   11464140
2009-07-01   11494956
2009-10-01   11560304
2010-01-01   11615652
2010-04-01   11953072
2010-07-01   12162040
2010-10-01   12152644
2011-01-01   12390756
2011-04-01   12635692
2011-07-01   12816776
2011-10-01   12824064
2012-01-01   13185232
2012-04-01   13404588
2012-07-01   13523536
2012-10-01   13876704
2013-01-01   13873852
2013-04-01   13977600
2013-07-01   13933292
2013-10-01   14196664
2014-01-01   14613444
2014-04-01   14889588
2014-07-01   15181088
2014-10-01   15313508
2015-01-01   15720080
2015-04-01   15668656
2015-07-01   15692500
2015-10-01   15631888
2016-01-01   15705328
2016-04-01   15893224
2016-07-01   16005412
2016-10-01   16323956
2017-01-01   16779948
2017-04-01   16813400
2017-07-01   17142336
2017-10-01   17144368
2018-01-01   16968992
2018-04-01   17082636
2018-07-01   17369047
