Title:               Gross Domestic Product by Industry: Private Industries: Finance, Insurance, Real Estate, Rental, and Leasing: Finance and Insurance for North Carolina
Series ID:           NCFININSNQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:09 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01  36219.7
2005-04-01  34304.3
2005-07-01  32762.2
2005-10-01  31828.7
2006-01-01  37289.0
2006-04-01  35079.3
2006-07-01  32400.1
2006-10-01  30574.6
2007-01-01  32356.1
2007-04-01  27873.3
2007-07-01  25494.9
2007-10-01  24955.8
2008-01-01  38049.6
2008-04-01  36972.3
2008-07-01  36000.0
2008-10-01  33921.1
2009-01-01  24624.3
2009-04-01  28849.1
2009-07-01  31144.0
2009-10-01  33087.0
2010-01-01  26474.9
2010-04-01  28466.8
2010-07-01  29502.3
2010-10-01  33318.0
2011-01-01  33193.8
2011-04-01  33729.9
2011-07-01  33306.4
2011-10-01  31865.8
2012-01-01  37724.3
2012-04-01  35977.8
2012-07-01  36330.9
2012-10-01  37241.3
2013-01-01  32766.0
2013-04-01  34368.3
2013-07-01  37129.9
2013-10-01  38798.2
2014-01-01  39404.7
2014-04-01  39234.4
2014-07-01  39822.8
2014-10-01  39739.9
2015-01-01  42125.3
2015-04-01  43371.7
2015-07-01  42186.4
2015-10-01  42515.2
2016-01-01  42379.0
2016-04-01  43234.8
2016-07-01  45113.6
2016-10-01  47621.2
2017-01-01  46445.6
2017-04-01  47212.8
2017-07-01  46480.7
2017-10-01  47716.4
2018-01-01  48774.1
2018-04-01  49459.6
