Title:               Real Gross Domestic Product by Industry: Private Industries: Finance, Insurance, Real Estate, Rental, and Leasing: Finance and Insurance for North Carolina
Series ID:           NCFININSRQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Chained 2012 Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01  38395.4
2005-04-01  36431.2
2005-07-01  34742.9
2005-10-01  33539.6
2006-01-01  38874.3
2006-04-01  36242.0
2006-07-01  33676.3
2006-10-01  31495.9
2007-01-01  33226.2
2007-04-01  28716.9
2007-07-01  25939.4
2007-10-01  25034.2
2008-01-01  38003.7
2008-04-01  37078.7
2008-07-01  36913.9
2008-10-01  36140.7
2009-01-01  27927.5
2009-04-01  32965.5
2009-07-01  35481.5
2009-10-01  36490.8
2010-01-01  28671.5
2010-04-01  30241.0
2010-07-01  31307.2
2010-10-01  35330.8
2011-01-01  35438.6
2011-04-01  35693.3
2011-07-01  34899.5
2011-10-01  33289.9
2012-01-01  38168.0
2012-04-01  36252.3
2012-07-01  36205.1
2012-10-01  36648.9
2013-01-01  31955.9
2013-04-01  33047.9
2013-07-01  34956.6
2013-10-01  35757.3
2014-01-01  35605.9
2014-04-01  34878.0
2014-07-01  35018.0
2014-10-01  34912.0
2015-01-01  36569.1
2015-04-01  37168.1
2015-07-01  35792.4
2015-10-01  35889.8
2016-01-01  35130.7
2016-04-01  34880.4
2016-07-01  35471.9
2016-10-01  36812.3
2017-01-01  35795.6
2017-04-01  35968.6
2017-07-01  34944.4
2017-10-01  34921.7
2018-01-01  34988.9
2018-04-01  34857.8
