Title:               Resident Population in Forsyth County, NC
Series ID:           NCFORS5POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE          VALUE
1970-01-01  215.118
1971-01-01  219.900
1972-01-01  224.200
1973-01-01  226.200
1974-01-01  227.800
1975-01-01  229.400
1976-01-01  231.700
1977-01-01  234.200
1978-01-01  238.200
1979-01-01  241.900
1980-01-01  243.704
1981-01-01  246.931
1982-01-01  249.154
1983-01-01  251.265
1984-01-01  253.543
1985-01-01  257.028
1986-01-01  258.482
1987-01-01  262.111
1988-01-01  263.655
1989-01-01  264.921
1990-01-01  266.855
1991-01-01  270.397
1992-01-01  273.771
1993-01-01  278.705
1994-01-01  284.496
1995-01-01  288.923
1996-01-01  293.811
1997-01-01  297.835
1998-01-01  301.159
1999-01-01  303.630
2000-01-01  307.205
2001-01-01  312.360
2002-01-01  316.981
2003-01-01  320.629
2004-01-01  325.193
2005-01-01  331.499
2006-01-01  339.812
2007-01-01  347.685
2008-01-01  354.698
2009-01-01  358.781
2010-01-01  351.421
2011-01-01  354.835
2012-01-01  357.937
2013-01-01  361.000
2014-01-01  364.956
2015-01-01  367.922
2016-01-01  371.614
2017-01-01  376.320
