Title:               Resident Population in Franklin County, NC
Series ID:           NCFRAN9POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  26.820
1971-01-01  27.700
1972-01-01  28.000
1973-01-01  28.200
1974-01-01  28.400
1975-01-01  28.700
1976-01-01  28.600
1977-01-01  28.900
1978-01-01  29.100
1979-01-01  29.700
1980-01-01  30.055
1981-01-01  30.392
1982-01-01  30.769
1983-01-01  31.212
1984-01-01  31.754
1985-01-01  32.708
1986-01-01  34.064
1987-01-01  35.032
1988-01-01  35.360
1989-01-01  35.999
1990-01-01  36.571
1991-01-01  37.440
1992-01-01  38.180
1993-01-01  39.351
1994-01-01  40.457
1995-01-01  41.804
1996-01-01  43.139
1997-01-01  44.083
1998-01-01  45.151
1999-01-01  46.293
2000-01-01  47.628
2001-01-01  48.828
2002-01-01  50.676
2003-01-01  52.022
2004-01-01  53.181
2005-01-01  54.312
2006-01-01  55.522
2007-01-01  57.295
2008-01-01  59.108
2009-01-01  60.184
2010-01-01  60.825
2011-01-01  60.964
2012-01-01  61.417
2013-01-01  62.105
2014-01-01  62.738
2015-01-01  63.659
2016-01-01  64.659
2017-01-01  66.168
