Title:               Resident Population in Gaston County, NC
Series ID:           NCGAST0POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE          VALUE
1970-01-01  148.415
1971-01-01  150.800
1972-01-01  153.800
1973-01-01  156.100
1974-01-01  156.700
1975-01-01  156.900
1976-01-01  156.300
1977-01-01  157.000
1978-01-01  158.200
1979-01-01  159.900
1980-01-01  162.568
1981-01-01  164.656
1982-01-01  166.369
1983-01-01  166.973
1984-01-01  169.045
1985-01-01  171.767
1986-01-01  171.500
1987-01-01  172.394
1988-01-01  173.900
1989-01-01  174.803
1990-01-01  175.132
1991-01-01  177.350
1992-01-01  178.654
1993-01-01  179.940
1994-01-01  181.237
1995-01-01  182.916
1996-01-01  184.428
1997-01-01  186.072
1998-01-01  187.284
1999-01-01  189.127
2000-01-01  190.791
2001-01-01  191.785
2002-01-01  192.539
2003-01-01  192.354
2004-01-01  192.605
2005-01-01  194.649
2006-01-01  197.644
2007-01-01  202.104
2008-01-01  206.534
2009-01-01  208.282
2010-01-01  206.127
2011-01-01  206.951
2012-01-01  207.963
2013-01-01  209.285
2014-01-01  210.694
2015-01-01  213.182
2016-01-01  216.903
2017-01-01  220.182
