Title:               Civilian Labor Force in Gates County, NC
Series ID:           NCGATE3LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:18 AM CST
Notes:               

DATE       VALUE
1990-01-01  3980
1990-02-01  4022
1990-03-01  4150
1990-04-01  3980
1990-05-01  4154
1990-06-01  4158
1990-07-01  4225
1990-08-01  4144
1990-09-01  3915
1990-10-01  4067
1990-11-01  4165
1990-12-01  4009
1991-01-01  4101
1991-02-01  4113
1991-03-01  4102
1991-04-01  4161
1991-05-01  4278
1991-06-01  4290
1991-07-01  4034
1991-08-01  3869
1991-09-01  4206
1991-10-01  4156
1991-11-01  4255
1991-12-01  4116
1992-01-01  4132
1992-02-01  4218
1992-03-01  4250
1992-04-01  4252
1992-05-01  4492
1992-06-01  4493
1992-07-01  4324
1992-08-01  4216
1992-09-01  4271
1992-10-01  4225
1992-11-01  4232
1992-12-01  4383
1993-01-01  4382
1993-02-01  4294
1993-03-01  4330
1993-04-01  4270
1993-05-01  4262
1993-06-01  4241
1993-07-01  4169
1993-08-01  4184
1993-09-01  4284
1993-10-01  4293
1993-11-01  4355
1993-12-01  4208
1994-01-01  4338
1994-02-01  4434
1994-03-01  4441
1994-04-01  4402
1994-05-01  4643
1994-06-01  4713
1994-07-01  4741
1994-08-01  4835
1994-09-01  4704
1994-10-01  4585
1994-11-01  4671
1994-12-01  4519
1995-01-01  4546
1995-02-01  4526
1995-03-01  4563
1995-04-01  4534
1995-05-01  4553
1995-06-01  4675
1995-07-01  4466
1995-08-01  4443
1995-09-01  4595
1995-10-01  4631
1995-11-01  4736
1995-12-01  4543
1996-01-01  4457
1996-02-01  4579
1996-03-01  4595
1996-04-01  4710
1996-05-01  4742
1996-06-01  4796
1996-07-01  4657
1996-08-01  4612
1996-09-01  4645
1996-10-01  4797
1996-11-01  4760
1996-12-01  4651
1997-01-01  4678
1997-02-01  4673
1997-03-01  4719
1997-04-01  4616
1997-05-01  4705
1997-06-01  4800
1997-07-01  4571
1997-08-01  4417
1997-09-01  4561
1997-10-01  4726
1997-11-01  4693
1997-12-01  4665
1998-01-01  4609
1998-02-01  4595
1998-03-01  4639
1998-04-01  4645
1998-05-01  4683
1998-06-01  4828
1998-07-01  4588
1998-08-01  4471
1998-09-01  4720
1998-10-01  4728
1998-11-01  4714
1998-12-01  4751
1999-01-01  4772
1999-02-01  4754
1999-03-01  4747
1999-04-01  4907
1999-05-01  4834
1999-06-01  4961
1999-07-01  4747
1999-08-01  4974
1999-09-01  4866
1999-10-01  4858
1999-11-01  4763
1999-12-01  4631
2000-01-01  4608
2000-02-01  4594
2000-03-01  4680
2000-04-01  4618
2000-05-01  4690
2000-06-01  4683
2000-07-01  4610
2000-08-01  4776
2000-09-01  4661
2000-10-01  4700
2000-11-01  4698
2000-12-01  4695
2001-01-01  4668
2001-02-01  4641
2001-03-01  4652
2001-04-01  4614
2001-05-01  4659
2001-06-01  4591
2001-07-01  4624
2001-08-01  4741
2001-09-01  4755
2001-10-01  4724
2001-11-01  4765
2001-12-01  4641
2002-01-01  4600
2002-02-01  4656
2002-03-01  4638
2002-04-01  4658
2002-05-01  4721
2002-06-01  4658
2002-07-01  4650
2002-08-01  4678
2002-09-01  4716
2002-10-01  4732
2002-11-01  4669
2002-12-01  4667
2003-01-01  4681
2003-02-01  4694
2003-03-01  4761
2003-04-01  4778
2003-05-01  4862
2003-06-01  4838
2003-07-01  4880
2003-08-01  4902
2003-09-01  4833
2003-10-01  4973
2003-11-01  4951
2003-12-01  4917
2004-01-01  4871
2004-02-01  4859
2004-03-01  4856
2004-04-01  4912
2004-05-01  4934
2004-06-01  4849
2004-07-01  4851
2004-08-01  4836
2004-09-01  4848
2004-10-01  4896
2004-11-01  4935
2004-12-01  4920
2005-01-01  4910
2005-02-01  4893
2005-03-01  4937
2005-04-01  5006
2005-05-01  4970
2005-06-01  4905
2005-07-01  4927
2005-08-01  4802
2005-09-01  4917
2005-10-01  4908
2005-11-01  4941
