Title:               All Employees: Government in North Carolina
Series ID:           NCGOVT
Source:              U.S. Bureau of Labor Statistics
Release:             State Employment and Unemployment
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2018-12-24 12:31 PM CST
Notes:               

DATE        VALUE
1990-01-01  490.8
1990-02-01  492.7
1990-03-01  496.9
1990-04-01  497.5
1990-05-01  505.2
1990-06-01  504.6
1990-07-01  508.0
1990-08-01  499.4
1990-09-01  500.0
1990-10-01  500.1
1990-11-01  502.7
1990-12-01  501.7
1991-01-01  504.3
1991-02-01  505.7
1991-03-01  507.5
1991-04-01  508.3
1991-05-01  507.9
1991-06-01  507.3
1991-07-01  515.0
1991-08-01  510.9
1991-09-01  511.7
1991-10-01  513.1
1991-11-01  511.8
1991-12-01  513.6
1992-01-01  516.1
1992-02-01  517.6
1992-03-01  518.4
1992-04-01  519.7
1992-05-01  522.8
1992-06-01  524.9
1992-07-01  516.7
1992-08-01  518.6
1992-09-01  520.6
1992-10-01  523.9
1992-11-01  529.6
1992-12-01  527.9
1993-01-01  530.2
1993-02-01  529.5
1993-03-01  530.2
1993-04-01  530.4
1993-05-01  531.2
1993-06-01  534.4
1993-07-01  539.6
1993-08-01  536.7
1993-09-01  538.1
1993-10-01  537.2
1993-11-01  540.0
1993-12-01  541.1
1994-01-01  540.9
1994-02-01  540.9
1994-03-01  542.1
1994-04-01  543.7
1994-05-01  545.4
1994-06-01  549.3
1994-07-01  546.0
1994-08-01  542.7
1994-09-01  550.8
1994-10-01  551.2
1994-11-01  553.2
1994-12-01  553.2
1995-01-01  554.7
1995-02-01  555.8
1995-03-01  557.3
1995-04-01  556.6
1995-05-01  555.5
1995-06-01  561.3
1995-07-01  563.0
1995-08-01  549.8
1995-09-01  560.4
1995-10-01  562.2
1995-11-01  561.8
1995-12-01  563.7
1996-01-01  561.8
1996-02-01  564.0
1996-03-01  565.6
1996-04-01  567.8
1996-05-01  569.9
1996-06-01  578.0
1996-07-01  569.1
1996-08-01  562.9
1996-09-01  572.1
1996-10-01  572.4
1996-11-01  574.8
1996-12-01  575.0
1997-01-01  577.2
1997-02-01  577.2
1997-03-01  578.8
1997-04-01  583.6
1997-05-01  582.9
1997-06-01  592.0
1997-07-01  585.0
1997-08-01  581.2
1997-09-01  585.4
1997-10-01  587.6
1997-11-01  589.6
1997-12-01  590.8
1998-01-01  591.8
1998-02-01  593.7
1998-03-01  595.0
1998-04-01  599.3
1998-05-01  598.4
1998-06-01  601.2
1998-07-01  600.0
1998-08-01  602.4
1998-09-01  607.0
1998-10-01  608.9
1998-11-01  607.7
1998-12-01  608.8
1999-01-01  609.7
1999-02-01  612.8
1999-03-01  613.9
1999-04-01  609.7
1999-05-01  608.0
1999-06-01  606.3
1999-07-01  609.1
1999-08-01  620.0
1999-09-01  613.4
