Title:               Civilian Labor Force in Graham County, NC
Series ID:           NCGRAH5LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:18 AM CST
Notes:               

DATE       VALUE
1990-01-01  3453
1990-02-01  3498
1990-03-01  3411
1990-04-01  3387
1990-05-01  3412
1990-06-01  3452
1990-07-01  3349
1990-08-01  3328
1990-09-01  3382
1990-10-01  3512
1990-11-01  3562
1990-12-01  3541
1991-01-01  3539
1991-02-01  3393
1991-03-01  3407
1991-04-01  3571
1991-05-01  3631
1991-06-01  3724
1991-07-01  4209
1991-08-01  3663
1991-09-01  3605
1991-10-01  3682
1991-11-01  3688
1991-12-01  3720
1992-01-01  4101
1992-02-01  4000
1992-03-01  3917
1992-04-01  3918
1992-05-01  4011
1992-06-01  4292
1992-07-01  4394
1992-08-01  4288
1992-09-01  4045
1992-10-01  4055
1992-11-01  4080
1992-12-01  4088
1993-01-01  4201
1993-02-01  4139
1993-03-01  4091
1993-04-01  4055
1993-05-01  4349
1993-06-01  4494
1993-07-01  4407
1993-08-01  4543
1993-09-01  4245
1993-10-01  4247
1993-11-01  4208
1993-12-01  4299
1994-01-01  4227
1994-02-01  4266
1994-03-01  4264
1994-04-01  4218
1994-05-01  4332
1994-06-01  4468
1994-07-01  4640
1994-08-01  4571
1994-09-01  4402
1994-10-01  4243
1994-11-01  4207
1994-12-01  4069
1995-01-01  4440
1995-02-01  4826
1995-03-01  4150
1995-04-01  4389
1995-05-01  4500
1995-06-01  4512
1995-07-01  4571
1995-08-01  4561
1995-09-01  4365
1995-10-01  4333
1995-11-01  4331
1995-12-01  4258
1996-01-01  4515
1996-02-01  4408
1996-03-01  4283
1996-04-01  4241
1996-05-01  4449
1996-06-01  4478
1996-07-01  4562
1996-08-01  4543
1996-09-01  4685
1996-10-01  4902
1996-11-01  4724
1996-12-01  4484
1997-01-01  4480
1997-02-01  4378
1997-03-01  4231
1997-04-01  4222
1997-05-01  4258
1997-06-01  4469
1997-07-01  4473
1997-08-01  4466
1997-09-01  4395
1997-10-01  4384
1997-11-01  4411
1997-12-01  4497
1998-01-01  4309
1998-02-01  4266
1998-03-01  4236
1998-04-01  4136
1998-05-01  4097
1998-06-01  4089
1998-07-01  4115
1998-08-01  3984
1998-09-01  4027
1998-10-01  4123
1998-11-01  4161
1998-12-01  4074
1999-01-01  3776
1999-02-01  3812
1999-03-01  3669
1999-04-01  3878
1999-05-01  3978
1999-06-01  3996
1999-07-01  4022
1999-08-01  3855
1999-09-01  3873
1999-10-01  3918
1999-11-01  3872
1999-12-01  3885
2000-01-01  3586
2000-02-01  3548
2000-03-01  3678
2000-04-01  3664
2000-05-01  3812
2000-06-01  3962
2000-07-01  3868
2000-08-01  3882
2000-09-01  3922
2000-10-01  3963
2000-11-01  3984
2000-12-01  4000
2001-01-01  3884
2001-02-01  3952
2001-03-01  4002
2001-04-01  3929
2001-05-01  3824
2001-06-01  4019
2001-07-01  4104
2001-08-01  4003
2001-09-01  3989
2001-10-01  3906
2001-11-01  3816
2001-12-01  3753
2002-01-01  3769
2002-02-01  3774
2002-03-01  3783
2002-04-01  3898
2002-05-01  3916
2002-06-01  3921
2002-07-01  3936
2002-08-01  3862
2002-09-01  3848
2002-10-01  3768
2002-11-01  3747
2002-12-01  3697
2003-01-01  3715
2003-02-01  3740
2003-03-01  3767
2003-04-01  3845
2003-05-01  3923
2003-06-01  4066
2003-07-01  4063
2003-08-01  3937
2003-09-01  3886
2003-10-01  3926
2003-11-01  3892
2003-12-01  3776
2004-01-01  3624
2004-02-01  3627
2004-03-01  3658
2004-04-01  3822
2004-05-01  3883
2004-06-01  4044
2004-07-01  3977
2004-08-01  3865
2004-09-01  3843
2004-10-01  3951
2004-11-01  3820
2004-12-01  3853
2005-01-01  3890
2005-02-01  3890
2005-03-01  3889
2005-04-01  4138
2005-05-01  4084
2005-06-01  4142
2005-07-01  4221
2005-08-01  4105
2005-09-01  4058
2005-10-01  4134
2005-11-01  4015
2005-12-01  3901
2006-01-01  3932
2006-02-01  3934
2006-03-01  3945
2006-04-01  4082
2006-05-01  4238
2006-06-01  4322
2006-07-01  4312
2006-08-01  4221
2006-09-01  4093
2006-10-01  4052
2006-11-01  4075
2006-12-01  3982
2007-01-01  4530
2007-02-01  4487
2007-03-01  4574
2007-04-01  4710
2007-05-01  4800
2007-06-01  4895
2007-07-01  4752
2007-08-01  4631
2007-09-01  4613
2007-10-01  4699
2007-11-01  4743
2007-12-01  4703
2008-01-01  4440
2008-02-01  4297
2008-03-01  4387
2008-04-01  4573
2008-05-01  4649
2008-06-01  4671
2008-07-01  4503
2008-08-01  4428
2008-09-01  4338
2008-10-01  4040
2008-11-01  4075
2008-12-01  4053
2009-01-01  3679
2009-02-01  3690
2009-03-01  3671
2009-04-01  3679
2009-05-01  3802
2009-06-01  3836
2009-07-01  3739
2009-08-01  3697
2009-09-01  3737
2009-10-01  3680
2009-11-01  3606
2009-12-01  3539
2010-01-01  3548
2010-02-01  3538
2010-03-01  3586
2010-04-01  3778
2010-05-01  3831
2010-06-01  3819
2010-07-01  3873
2010-08-01  3797
2010-09-01  3753
2010-10-01  3750
2010-11-01  3553
2010-12-01  3602
2011-01-01  3508
2011-02-01  3522
2011-03-01  3534
2011-04-01  3657
2011-05-01  3705
2011-06-01  3720
2011-07-01  3737
2011-08-01  3729
2011-09-01  3678
