Title:               Resident Population in Harnett County, NC
Series ID:           NCHARN0POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE          VALUE
1970-01-01   49.667
1971-01-01   50.700
1972-01-01   52.800
1973-01-01   53.600
1974-01-01   55.100
1975-01-01   55.700
1976-01-01   56.100
1977-01-01   57.600
1978-01-01   58.500
1979-01-01   59.300
1980-01-01   59.570
1981-01-01   60.551
1982-01-01   61.176
1983-01-01   61.713
1984-01-01   62.277
1985-01-01   63.537
1986-01-01   64.516
1987-01-01   65.740
1988-01-01   66.921
1989-01-01   67.579
1990-01-01   68.030
1991-01-01   69.189
1992-01-01   71.373
1993-01-01   73.671
1994-01-01   75.590
1995-01-01   78.353
1996-01-01   81.651
1997-01-01   84.169
1998-01-01   86.513
1999-01-01   89.127
2000-01-01   91.494
2001-01-01   93.572
2002-01-01   96.432
2003-01-01   97.819
2004-01-01   99.874
2005-01-01  102.353
2006-01-01  104.995
2007-01-01  108.160
2008-01-01  111.600
2009-01-01  115.213
2010-01-01  115.760
2011-01-01  119.214
2012-01-01  122.258
2013-01-01  125.104
2014-01-01  126.801
2015-01-01  128.205
2016-01-01  130.899
2017-01-01  132.754
