Title:               Civilian Labor Force in Haywood County, NC
Series ID:           NCHAYW7LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  22446
1990-02-01  22442
1990-03-01  22355
1990-04-01  22661
1990-05-01  23393
1990-06-01  23735
1990-07-01  24059
1990-08-01  23496
1990-09-01  22707
1990-10-01  22876
1990-11-01  22994
1990-12-01  22745
1991-01-01  22692
1991-02-01  23098
1991-03-01  23273
1991-04-01  23493
1991-05-01  24056
1991-06-01  24619
1991-07-01  25129
1991-08-01  24609
1991-09-01  23844
1991-10-01  24616
1991-11-01  24044
1991-12-01  23835
1992-01-01  23732
1992-02-01  23574
1992-03-01  23393
1992-04-01  23664
1992-05-01  24054
1992-06-01  24790
1992-07-01  25995
1992-08-01  25399
1992-09-01  24673
1992-10-01  24240
1992-11-01  24516
1992-12-01  23413
1993-01-01  23146
1993-02-01  23169
1993-03-01  22831
1993-04-01  23135
1993-05-01  23597
1993-06-01  24278
1993-07-01  25181
1993-08-01  24571
1993-09-01  23626
1993-10-01  23759
1993-11-01  23430
1993-12-01  23318
1994-01-01  23274
1994-02-01  23343
1994-03-01  23261
1994-04-01  23269
1994-05-01  23611
1994-06-01  24018
1994-07-01  24075
1994-08-01  23975
1994-09-01  23664
1994-10-01  24007
1994-11-01  23599
1994-12-01  23391
1995-01-01  23512
1995-02-01  23383
1995-03-01  23200
1995-04-01  23579
1995-05-01  23688
1995-06-01  24425
1995-07-01  24598
1995-08-01  24063
1995-09-01  23895
1995-10-01  24130
1995-11-01  23955
1995-12-01  24019
1996-01-01  24271
1996-02-01  24258
1996-03-01  24190
1996-04-01  24406
1996-05-01  25234
1996-06-01  25734
1996-07-01  25957
1996-08-01  25305
1996-09-01  25471
1996-10-01  25456
1996-11-01  25368
1996-12-01  25419
1997-01-01  25447
1997-02-01  25210
1997-03-01  25340
1997-04-01  25614
1997-05-01  26371
1997-06-01  26908
1997-07-01  26915
1997-08-01  26742
1997-09-01  26690
1997-10-01  26396
1997-11-01  26355
1997-12-01  26079
1998-01-01  24725
1998-02-01  24789
1998-03-01  25016
1998-04-01  24309
1998-05-01  25223
1998-06-01  25941
1998-07-01  26014
1998-08-01  25174
1998-09-01  25075
1998-10-01  25020
1998-11-01  24712
1998-12-01  24494
1999-01-01  24610
1999-02-01  24577
1999-03-01  24531
1999-04-01  24750
1999-05-01  25228
1999-06-01  25336
1999-07-01  25467
1999-08-01  25055
1999-09-01  24991
1999-10-01  24400
1999-11-01  24371
1999-12-01  24369
2000-01-01  26061
2000-02-01  26217
2000-03-01  26184
2000-04-01  25938
2000-05-01  25851
2000-06-01  25928
2000-07-01  25860
2000-08-01  25668
2000-09-01  25658
2000-10-01  25832
2000-11-01  26103
2000-12-01  26197
2001-01-01  26618
2001-02-01  26568
2001-03-01  26616
2001-04-01  26421
2001-05-01  26425
2001-06-01  26418
2001-07-01  26681
2001-08-01  26280
2001-09-01  26406
2001-10-01  26689
2001-11-01  26801
2001-12-01  26939
2002-01-01  26662
2002-02-01  27089
2002-03-01  26888
2002-04-01  26672
2002-05-01  26732
2002-06-01  26679
2002-07-01  26787
2002-08-01  26445
2002-09-01  26537
2002-10-01  26643
2002-11-01  26712
2002-12-01  26768
2003-01-01  26911
2003-02-01  27162
2003-03-01  27052
2003-04-01  27272
2003-05-01  27105
2003-06-01  27313
2003-07-01  27370
2003-08-01  27170
2003-09-01  27110
2003-10-01  27142
2003-11-01  27336
2003-12-01  27167
2004-01-01  26826
2004-02-01  26909
2004-03-01  26845
2004-04-01  26810
2004-05-01  26715
2004-06-01  27066
2004-07-01  27347
2004-08-01  27042
2004-09-01  26814
2004-10-01  27023
2004-11-01  27261
2004-12-01  27270
2005-01-01  26901
2005-02-01  27089
2005-03-01  27127
2005-04-01  26810
2005-05-01  26817
2005-06-01  26929
2005-07-01  27453
2005-08-01  27234
2005-09-01  27227
2005-10-01  27391
2005-11-01  27309
2005-12-01  27212
2006-01-01  26796
2006-02-01  26994
2006-03-01  27147
2006-04-01  27220
2006-05-01  27397
2006-06-01  27667
2006-07-01  28103
2006-08-01  27742
2006-09-01  27805
2006-10-01  28109
2006-11-01  28199
2006-12-01  28060
2007-01-01  27193
2007-02-01  27101
2007-03-01  27250
2007-04-01  27165
2007-05-01  27411
2007-06-01  27671
2007-07-01  27946
2007-08-01  27261
2007-09-01  27563
2007-10-01  27495
2007-11-01  27537
2007-12-01  27457
2008-01-01  27537
2008-02-01  27508
2008-03-01  27550
2008-04-01  27605
2008-05-01  27932
2008-06-01  28003
2008-07-01  28394
2008-08-01  27707
2008-09-01  27758
2008-10-01  27747
2008-11-01  28037
2008-12-01  27969
2009-01-01  27972
2009-02-01  27938
2009-03-01  27867
2009-04-01  27849
2009-05-01  27834
2009-06-01  27759
2009-07-01  28299
2009-08-01  27515
2009-09-01  27449
2009-10-01  27677
2009-11-01  27874
2009-12-01  27715
2010-01-01  27288
2010-02-01  27428
2010-03-01  27556
2010-04-01  27827
2010-05-01  27849
2010-06-01  27723
2010-07-01  27689
2010-08-01  27570
2010-09-01  27545
2010-10-01  27581
2010-11-01  27666
2010-12-01  27471
2011-01-01  27224
2011-02-01  27323
2011-03-01  27476
2011-04-01  27461
2011-05-01  27629
2011-06-01  27675
2011-07-01  27737
2011-08-01  27354
2011-09-01  27581
2011-10-01  27659
2011-11-01  27602
2011-12-01  27396
2012-01-01  27032
2012-02-01  27170
2012-03-01  27257
2012-04-01  27194
2012-05-01  27610
2012-06-01  27656
2012-07-01  27809
2012-08-01  27487
2012-09-01  27775
2012-10-01  27825
2012-11-01  27727
2012-12-01  27635
2013-01-01  27556
2013-02-01  27542
2013-03-01  27465
2013-04-01  27558
2013-05-01  27830
2013-06-01  27854
2013-07-01  27828
2013-08-01  27451
2013-09-01  27657
2013-10-01  27517
2013-11-01  27504
2013-12-01  27214
2014-01-01  26971
2014-02-01  27002
2014-03-01  27249
2014-04-01  27056
2014-05-01  27421
2014-06-01  27283
2014-07-01  27504
2014-08-01  27178
2014-09-01  27343
2014-10-01  27458
