Title:               Resident Population in Henderson County, NC
Series ID:           NCHEND0POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE          VALUE
1970-01-01   42.804
1971-01-01   44.600
1972-01-01   45.400
1973-01-01   47.400
1974-01-01   48.600
1975-01-01   50.500
1976-01-01   51.800
1977-01-01   53.600
1978-01-01   55.200
1979-01-01   57.000
1980-01-01   58.580
1981-01-01   60.192
1982-01-01   61.579
1983-01-01   62.553
1984-01-01   64.016
1985-01-01   65.084
1986-01-01   65.758
1987-01-01   66.408
1988-01-01   67.535
1989-01-01   68.357
1990-01-01   70.268
1991-01-01   71.902
1992-01-01   73.596
1993-01-01   75.711
1994-01-01   78.004
1995-01-01   80.030
1996-01-01   81.750
1997-01-01   84.088
1998-01-01   86.016
1999-01-01   87.825
2000-01-01   89.633
2001-01-01   90.920
2002-01-01   92.264
2003-01-01   93.577
2004-01-01   94.864
2005-01-01   96.376
2006-01-01   98.725
2007-01-01  100.712
2008-01-01  102.541
2009-01-01  103.764
2010-01-01  106.883
2011-01-01  107.413
2012-01-01  107.837
2013-01-01  108.973
2014-01-01  110.366
2015-01-01  111.975
2016-01-01  113.758
2017-01-01  115.708
