Title:               Resident Population in Hertford County, NC
Series ID:           NCHERT1POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  24.439
1971-01-01  23.200
1972-01-01  23.200
1973-01-01  23.400
1974-01-01  22.800
1975-01-01  23.100
1976-01-01  23.000
1977-01-01  23.100
1978-01-01  23.200
1979-01-01  23.400
1980-01-01  23.368
1981-01-01  23.300
1982-01-01  23.270
1983-01-01  23.422
1984-01-01  23.329
1985-01-01  23.375
1986-01-01  23.386
1987-01-01  23.046
1988-01-01  22.802
1989-01-01  22.581
1990-01-01  22.355
1991-01-01  22.393
1992-01-01  22.457
1993-01-01  22.690
1994-01-01  22.637
1995-01-01  22.693
1996-01-01  22.651
1997-01-01  22.673
1998-01-01  22.578
1999-01-01  22.579
2000-01-01  22.574
2001-01-01  22.633
2002-01-01  23.145
2003-01-01  22.882
2004-01-01  22.845
2005-01-01  22.782
2006-01-01  22.711
2007-01-01  22.765
2008-01-01  22.835
2009-01-01  22.851
2010-01-01  24.759
2011-01-01  24.640
2012-01-01  24.523
2013-01-01  24.506
2014-01-01  24.509
2015-01-01  24.287
2016-01-01  24.096
2017-01-01  23.906
