Title:               Resident Population in Hyde County, NC
Series ID:           NCHYDE5POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE        VALUE
1970-01-01  5.571
1971-01-01  5.700
1972-01-01  5.600
1973-01-01  5.600
1974-01-01  5.500
1975-01-01  5.700
1976-01-01  5.900
1977-01-01  6.000
1978-01-01  5.900
1979-01-01  6.000
1980-01-01  5.873
1981-01-01  5.922
1982-01-01  5.879
1983-01-01  5.865
1984-01-01  5.861
1985-01-01  5.834
1986-01-01  5.756
1987-01-01  5.625
1988-01-01  5.503
1989-01-01  5.490
1990-01-01  5.406
1991-01-01  5.380
1992-01-01  5.425
1993-01-01  5.381
1994-01-01  5.346
1995-01-01  5.365
1996-01-01  5.409
1997-01-01  5.484
1998-01-01  5.915
1999-01-01  5.914
2000-01-01  5.813
2001-01-01  5.649
2002-01-01  5.693
2003-01-01  5.535
2004-01-01  5.433
2005-01-01  5.391
2006-01-01  5.225
2007-01-01  5.189
2008-01-01  5.263
2009-01-01  5.220
2010-01-01  5.813
2011-01-01  5.800
2012-01-01  5.692
2013-01-01  5.655
2014-01-01  5.604
2015-01-01  5.437
2016-01-01  5.476
2017-01-01  5.363
