Title:               Interest-Bearing Balances for Commercial Banks in North Carolina
Series ID:           NCIBB
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1984-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:02 AM CST
Notes:               This series represents Interest-Bearing Balances call item RCFD0071.
                     
                     Geographic location is determined by Abbreviated State Name call item
                     RSSD9200 = 'NC' representing two character state abbreviation of North
                     Carolina.
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE            VALUE
1984-01-01    2106044
1984-04-01    2416879
1984-07-01    1378073
1984-10-01    1791591
1985-01-01    1668671
1985-04-01    1641100
1985-07-01    1170129
1985-10-01    1464066
1986-01-01    1341702
1986-04-01    1498279
1986-07-01    1583890
1986-10-01    2241305
1987-01-01    2090513
1987-04-01    1749398
1987-07-01    1856775
1987-10-01    2349697
1988-01-01    1737741
1988-04-01    1687210
1988-07-01    1413580
1988-10-01    1447164
1989-01-01    1929322
1989-04-01    1491623
1989-07-01    1367784
1989-10-01    1327080
1990-01-01    1941517
1990-04-01    2215404
1990-07-01    2202315
1990-10-01    2252895
1991-01-01    1341914
1991-04-01    1492168
1991-07-01    1583215
1991-10-01    1168563
1992-01-01    2553570
1992-04-01    1702860
1992-07-01    1347708
1992-10-01    1626209
1993-01-01    1496674
1993-04-01    1339970
1993-07-01    1322061
1993-10-01    1325549
1994-01-01     871747
1994-04-01    1727354
1994-07-01    2422221
1994-10-01    2016939
1995-01-01    2496074
1995-04-01    2090507
1995-07-01    2135359
1995-10-01    1548474
1996-01-01    1484042
1996-04-01    1621509
1996-07-01    1868776
1996-10-01    1609619
1997-01-01    3131159
1997-04-01    3304555
1997-07-01   15275854
1997-10-01   18206885
1998-01-01   17786117
1998-04-01    3368549
1998-07-01    3294008
1998-10-01    7998343
1999-01-01    5774614
1999-04-01    4822269
1999-07-01    9965352
1999-10-01   10622895
2000-01-01    4377755
2000-04-01    5282469
2000-07-01    7859780
2000-10-01    6313908
2001-01-01    7511040
2001-04-01    5452249
2001-07-01    5338381
2001-10-01   11015134
2002-01-01    9819988
2002-04-01    5792724
2002-07-01    5623808
2002-10-01    5000973
2003-01-01    6665017
2003-04-01   10646491
2003-07-01    6065996
2003-10-01    6586306
2004-01-01   10469301
2004-04-01    9882074
2004-07-01   14440746
2004-10-01   12226172
2005-01-01   10016243
2005-04-01    8329959
2005-07-01    8937768
2005-10-01   10019470
2006-01-01   10508985
2006-04-01   14167550
2006-07-01   19812814
2006-10-01   18318721
2007-01-01   15074208
2007-04-01   14382251
2007-07-01   15231927
2007-10-01   15685941
2008-01-01   16854741
2008-04-01   23731134
2008-07-01   20278578
2008-10-01   41506595
2009-01-01  130936772
2009-04-01   76141813
2009-07-01  132879565
2009-10-01  103301662
2010-01-01  121575658
2010-04-01  131459449
2010-07-01  111670267
2010-10-01   91322912
2011-01-01   58963817
2011-04-01   77963657
2011-07-01   68146003
2011-10-01  103898620
2012-01-01  121760825
2012-04-01  120833854
2012-07-01   96680511
2012-10-01   93078805
2013-01-01   78468078
2013-04-01   56805713
2013-07-01   84759246
2013-10-01   80014163
2014-01-01  105910466
2014-04-01  108759088
2014-07-01  179712654
2014-10-01  104417145
2015-01-01  130138648
2015-04-01  128554606
2015-07-01  141171181
2015-10-01  127939482
2016-01-01  149274982
2016-04-01  132623104
2016-07-01  111577657
2016-10-01  114657694
2017-01-01  134313678
2017-04-01  127994085
2017-07-01  135137113
2017-10-01  127339478
2018-01-01  173362833
2018-04-01  138124879
2018-07-01  153299013
