Title:               Gross Domestic Product by Industry: Private Industries: Information for North Carolina
Series ID:           NCINFONQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01  12628.0
2005-04-01  12060.1
2005-07-01  11976.3
2005-10-01  12412.8
2006-01-01  11796.9
2006-04-01  12454.3
2006-07-01  12747.3
2006-10-01  12326.7
2007-01-01  12292.1
2007-04-01  12623.2
2007-07-01  13281.6
2007-10-01  13779.9
2008-01-01  13347.6
2008-04-01  13806.6
2008-07-01  14015.1
2008-10-01  14059.6
2009-01-01  12707.0
2009-04-01  12816.8
2009-07-01  12948.0
2009-10-01  13589.7
2010-01-01  13226.5
2010-04-01  13280.9
2010-07-01  13634.6
2010-10-01  13858.9
2011-01-01  13365.4
2011-04-01  13330.5
2011-07-01  13355.5
2011-10-01  13537.8
2012-01-01  13778.2
2012-04-01  13602.9
2012-07-01  13493.6
2012-10-01  13364.5
2013-01-01  14945.1
2013-04-01  14825.3
2013-07-01  14784.0
2013-10-01  15073.0
2014-01-01  16196.6
2014-04-01  15973.0
2014-07-01  16553.6
2014-10-01  16560.5
2015-01-01  17517.5
2015-04-01  17807.5
2015-07-01  18372.2
2015-10-01  18499.9
2016-01-01  19165.3
2016-04-01  19440.5
2016-07-01  19825.2
2016-10-01  20163.6
2017-01-01  19396.3
2017-04-01  19778.8
2017-07-01  20083.9
2017-10-01  20605.9
2018-01-01  20355.8
2018-04-01  21260.4
