Title:               Resident Population in Iredell County, NC
Series ID:           NCIRED5POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE          VALUE
1970-01-01   72.197
1971-01-01   73.900
1972-01-01   76.100
1973-01-01   76.900
1974-01-01   78.000
1975-01-01   78.400
1976-01-01   77.900
1977-01-01   79.000
1978-01-01   80.400
1979-01-01   81.800
1980-01-01   82.538
1981-01-01   83.819
1982-01-01   84.487
1983-01-01   84.787
1984-01-01   86.309
1985-01-01   87.100
1986-01-01   87.931
1987-01-01   89.348
1988-01-01   90.862
1989-01-01   91.787
1990-01-01   93.711
1991-01-01   95.901
1992-01-01   97.517
1993-01-01   99.474
1994-01-01  101.802
1995-01-01  104.653
1996-01-01  107.743
1997-01-01  111.061
1998-01-01  115.686
1999-01-01  120.031
2000-01-01  123.583
2001-01-01  127.108
2002-01-01  130.285
2003-01-01  132.962
2004-01-01  136.265
2005-01-01  140.143
2006-01-01  146.365
2007-01-01  151.472
2008-01-01  155.725
2009-01-01  157.931
2010-01-01  159.775
2011-01-01  161.099
2012-01-01  162.745
2013-01-01  164.624
2014-01-01  166.563
2015-01-01  169.564
2016-01-01  172.529
2017-01-01  175.711
