Title:               Resident Population in Jackson County, NC
Series ID:           NCJACK9POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  21.593
1971-01-01  22.400
1972-01-01  23.300
1973-01-01  23.900
1974-01-01  24.400
1975-01-01  24.300
1976-01-01  24.600
1977-01-01  25.000
1978-01-01  24.600
1979-01-01  25.100
1980-01-01  25.811
1981-01-01  26.239
1982-01-01  26.400
1983-01-01  26.558
1984-01-01  26.742
1985-01-01  26.702
1986-01-01  26.273
1987-01-01  26.512
1988-01-01  26.606
1989-01-01  26.794
1990-01-01  26.926
1991-01-01  27.464
1992-01-01  28.026
1993-01-01  28.407
1994-01-01  29.373
1995-01-01  30.148
1996-01-01  30.797
1997-01-01  31.301
1998-01-01  31.851
1999-01-01  32.420
2000-01-01  33.236
2001-01-01  33.580
2002-01-01  34.031
2003-01-01  34.877
2004-01-01  35.428
2005-01-01  35.662
2006-01-01  36.409
2007-01-01  36.441
2008-01-01  36.756
2009-01-01  37.304
2010-01-01  40.370
2011-01-01  40.274
2012-01-01  40.679
2013-01-01  41.055
2014-01-01  40.989
2015-01-01  41.338
2016-01-01  42.268
2017-01-01  42.973
