Title:               Civilian Labor Force in Johnston County, NC
Series ID:           NCJOHN0LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  42798
1990-02-01  44619
1990-03-01  43682
1990-04-01  43901
1990-05-01  43838
1990-06-01  44348
1990-07-01  45358
1990-08-01  45910
1990-09-01  45624
1990-10-01  45094
1990-11-01  44996
1990-12-01  45677
1991-01-01  45373
1991-02-01  45680
1991-03-01  45781
1991-04-01  45454
1991-05-01  45602
1991-06-01  46541
1991-07-01  46896
1991-08-01  46425
1991-09-01  46266
1991-10-01  46575
1991-11-01  46629
1991-12-01  46625
1992-01-01  46131
1992-02-01  46714
1992-03-01  46652
1992-04-01  46352
1992-05-01  46740
1992-06-01  47578
1992-07-01  48710
1992-08-01  47886
1992-09-01  47390
1992-10-01  47513
1992-11-01  47988
1992-12-01  47771
1993-01-01  47395
1993-02-01  47739
1993-03-01  47368
1993-04-01  47215
1993-05-01  47509
1993-06-01  48131
1993-07-01  48885
1993-08-01  48529
1993-09-01  47553
1993-10-01  47178
1993-11-01  47972
1993-12-01  47655
1994-01-01  48218
1994-02-01  48538
1994-03-01  48402
1994-04-01  48424
1994-05-01  49237
1994-06-01  49403
1994-07-01  49297
1994-08-01  49218
1994-09-01  48556
1994-10-01  48936
1994-11-01  49321
1994-12-01  49220
1995-01-01  49281
1995-02-01  50039
1995-03-01  50217
1995-04-01  49966
1995-05-01  49952
1995-06-01  50896
1995-07-01  51563
1995-08-01  51089
1995-09-01  51157
1995-10-01  51840
1995-11-01  52041
1995-12-01  51960
1996-01-01  52464
1996-02-01  53324
1996-03-01  53771
1996-04-01  53629
1996-05-01  53845
1996-06-01  54165
1996-07-01  55618
1996-08-01  54735
1996-09-01  54845
1996-10-01  55338
1996-11-01  55509
1996-12-01  55272
1997-01-01  55961
1997-02-01  56672
1997-03-01  57070
1997-04-01  57490
1997-05-01  57216
1997-06-01  57454
1997-07-01  57933
1997-08-01  57188
1997-09-01  56954
1997-10-01  57978
1997-11-01  58666
1997-12-01  58359
1998-01-01  58984
1998-02-01  60043
1998-03-01  59903
1998-04-01  59963
1998-05-01  60048
1998-06-01  60140
1998-07-01  60245
1998-08-01  59261
1998-09-01  59447
1998-10-01  59976
1998-11-01  60284
1998-12-01  60279
1999-01-01  60662
1999-02-01  61527
1999-03-01  61633
1999-04-01  61820
1999-05-01  62119
1999-06-01  62601
1999-07-01  62993
1999-08-01  62226
1999-09-01  62078
1999-10-01  62635
1999-11-01  63040
1999-12-01  63107
2000-01-01  63005
2000-02-01  63681
2000-03-01  63760
2000-04-01  64129
2000-05-01  64044
2000-06-01  64589
2000-07-01  64902
2000-08-01  64055
2000-09-01  64132
2000-10-01  64524
2000-11-01  65120
2000-12-01  65252
2001-01-01  65695
2001-02-01  66179
2001-03-01  66427
2001-04-01  66238
2001-05-01  66232
2001-06-01  66555
2001-07-01  66407
2001-08-01  65126
2001-09-01  65383
2001-10-01  65799
2001-11-01  65739
2001-12-01  65712
2002-01-01  65469
2002-02-01  66065
2002-03-01  65926
2002-04-01  65989
2002-05-01  66192
2002-06-01  66446
2002-07-01  66659
2002-08-01  66231
2002-09-01  66411
2002-10-01  66484
2002-11-01  66430
2002-12-01  66189
2003-01-01  66593
2003-02-01  67170
2003-03-01  67232
2003-04-01  67967
2003-05-01  67693
2003-06-01  68527
2003-07-01  68207
2003-08-01  67348
2003-09-01  67088
2003-10-01  67681
2003-11-01  68064
2003-12-01  67722
2004-01-01  68151
2004-02-01  68313
2004-03-01  68264
2004-04-01  67820
2004-05-01  68135
2004-06-01  68952
2004-07-01  69973
2004-08-01  68894
2004-09-01  68611
2004-10-01  69274
2004-11-01  69702
2004-12-01  69460
2005-01-01  68652
2005-02-01  69116
2005-03-01  69317
2005-04-01  70002
2005-05-01  70543
2005-06-01  71207
2005-07-01  72545
2005-08-01  71811
2005-09-01  71672
2005-10-01  71865
2005-11-01  72031
2005-12-01  71742
2006-01-01  71187
2006-02-01  71715
2006-03-01  71952
2006-04-01  72744
2006-05-01  73518
2006-06-01  74458
2006-07-01  75759
2006-08-01  75221
2006-09-01  74939
2006-10-01  75669
2006-11-01  76165
2006-12-01  75746
2007-01-01  73643
2007-02-01  73956
2007-03-01  74205
2007-04-01  74001
2007-05-01  74708
2007-06-01  75535
2007-07-01  76664
2007-08-01  75495
2007-09-01  75571
2007-10-01  75735
2007-11-01  76016
2007-12-01  75531
2008-01-01  76257
2008-02-01  76412
2008-03-01  76530
2008-04-01  76954
2008-05-01  77593
2008-06-01  77708
2008-07-01  79364
2008-08-01  78130
2008-09-01  77798
2008-10-01  78537
2008-11-01  79285
2008-12-01  78915
2009-01-01  78567
2009-02-01  78618
2009-03-01  78553
2009-04-01  78829
2009-05-01  78548
2009-06-01  78868
2009-07-01  80269
2009-08-01  78414
2009-09-01  77798
2009-10-01  77896
2009-11-01  78140
2009-12-01  77529
2010-01-01  80259
2010-02-01  80525
2010-03-01  80866
2010-04-01  81988
2010-05-01  82020
2010-06-01  81959
2010-07-01  83299
2010-08-01  82216
2010-09-01  81909
2010-10-01  81975
2010-11-01  82118
2010-12-01  81278
2011-01-01  81354
2011-02-01  81503
2011-03-01  81823
2011-04-01  82031
2011-05-01  82285
2011-06-01  82511
2011-07-01  83570
2011-08-01  82877
2011-09-01  82969
2011-10-01  83167
2011-11-01  82986
2011-12-01  82401
2012-01-01  81914
2012-02-01  82481
2012-03-01  82622
2012-04-01  82615
2012-05-01  83466
2012-06-01  83850
2012-07-01  85155
2012-08-01  83747
2012-09-01  83946
2012-10-01  84655
2012-11-01  84190
2012-12-01  83627
2013-01-01  83595
2013-02-01  83905
2013-03-01  83777
2013-04-01  83637
2013-05-01  84252
2013-06-01  84503
2013-07-01  85767
2013-08-01  84589
2013-09-01  85075
2013-10-01  84830
2013-11-01  85005
2013-12-01  84293
2014-01-01  84210
2014-02-01  84517
2014-03-01  85126
2014-04-01  84752
2014-05-01  85583
2014-06-01  86116
2014-07-01  87476
2014-08-01  86137
2014-09-01  86177
2014-10-01  87290
2014-11-01  87029
2014-12-01  86208
2015-01-01  86661
2015-02-01  87094
2015-03-01  87490
2015-04-01  87480
2015-05-01  88287
2015-06-01  88546
2015-07-01  89539
2015-08-01  88167
2015-09-01  88110
2015-10-01  88912
2015-11-01  88998
2015-12-01  88619
2016-01-01  89736
2016-02-01  90560
2016-03-01  91204
2016-04-01  90755
2016-05-01  91097
2016-06-01  91528
2016-07-01  92978
2016-08-01  91476
2016-09-01  91945
2016-10-01  92583
2016-11-01  92445
2016-12-01  91598
2017-01-01  91856
2017-02-01  92914
2017-03-01  93611
2017-04-01  93268
2017-05-01  93634
2017-06-01  93938
2017-07-01  95895
2017-08-01  94548
2017-09-01  94986
2017-10-01  94808
2017-11-01  94639
2017-12-01  93790
2018-01-01  94211
2018-02-01  95355
2018-03-01  95542
2018-04-01  95325
2018-05-01  96253
2018-06-01  96964
2018-07-01  98594
2018-08-01  95984
2018-09-01  95695
2018-10-01  96687
2018-11-01  96190
