Title:               Resident Population in Johnston County, NC
Series ID:           NCJOHN0POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE          VALUE
1970-01-01   61.737
1971-01-01   62.800
1972-01-01   64.200
1973-01-01   64.400
1974-01-01   65.300
1975-01-01   66.800
1976-01-01   67.600
1977-01-01   68.200
1978-01-01   69.400
1979-01-01   70.200
1980-01-01   70.599
1981-01-01   71.441
1982-01-01   72.058
1983-01-01   72.559
1984-01-01   74.092
1985-01-01   75.858
1986-01-01   77.029
1987-01-01   77.911
1988-01-01   78.926
1989-01-01   80.004
1990-01-01   81.925
1991-01-01   84.521
1992-01-01   87.353
1993-01-01   90.285
1994-01-01   93.384
1995-01-01   97.914
1996-01-01  102.352
1997-01-01  106.905
1998-01-01  112.394
1999-01-01  117.765
2000-01-01  123.327
2001-01-01  127.673
2002-01-01  132.444
2003-01-01  136.105
2004-01-01  140.648
2005-01-01  145.137
2006-01-01  150.604
2007-01-01  156.877
2008-01-01  163.232
2009-01-01  168.256
2010-01-01  169.684
2011-01-01  172.534
2012-01-01  174.521
2013-01-01  177.421
2014-01-01  180.961
2015-01-01  185.357
2016-01-01  191.094
2017-01-01  196.708
