Title:               Resident Population in Lee County, NC
Series ID:           NCLEEC5POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  30.467
1971-01-01  31.200
1972-01-01  32.200
1973-01-01  32.700
1974-01-01  33.200
1975-01-01  33.600
1976-01-01  33.900
1977-01-01  34.800
1978-01-01  35.600
1979-01-01  35.800
1980-01-01  36.718
1981-01-01  36.999
1982-01-01  37.405
1983-01-01  37.862
1984-01-01  38.627
1985-01-01  39.719
1986-01-01  40.133
1987-01-01  39.970
1988-01-01  40.446
1989-01-01  40.882
1990-01-01  41.548
1991-01-01  42.065
1992-01-01  42.823
1993-01-01  43.806
1994-01-01  44.595
1995-01-01  45.698
1996-01-01  46.711
1997-01-01  47.611
1998-01-01  48.559
1999-01-01  48.766
2000-01-01  49.423
2001-01-01  51.196
2002-01-01  51.723
2003-01-01  52.886
2004-01-01  54.417
2005-01-01  55.434
2006-01-01  56.696
2007-01-01  57.834
2008-01-01  59.190
2009-01-01  60.359
2010-01-01  57.892
2011-01-01  58.588
2012-01-01  59.318
2013-01-01  59.874
2014-01-01  59.501
2015-01-01  59.476
2016-01-01  59.746
2017-01-01  60.430
