Title:               Civilian Labor Force in North Carolina
Series ID:           NCLFN
Source:              U.S. Bureau of Labor Statistics
Release:             State Employment and Unemployment
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1976-01-01 to 2018-11-01
Last Updated:        2018-12-24 12:51 PM CST
Notes:               

DATE           VALUE
1976-01-01   2535710
1976-02-01   2547938
1976-03-01   2541853
1976-04-01   2568856
1976-05-01   2592469
1976-06-01   2657583
1976-07-01   2709354
1976-08-01   2703525
1976-09-01   2601314
1976-10-01   2621547
1976-11-01   2616209
1976-12-01   2621025
1977-01-01   2571625
1977-02-01   2578471
1977-03-01   2597045
1977-04-01   2625258
1977-05-01   2659479
1977-06-01   2758110
1977-07-01   2776504
1977-08-01   2780357
1977-09-01   2705543
1977-10-01   2729247
1977-11-01   2744472
1977-12-01   2739582
1978-01-01   2703107
1978-02-01   2693254
1978-03-01   2691624
1978-04-01   2718863
1978-05-01   2750167
1978-06-01   2825113
1978-07-01   2845553
1978-08-01   2828115
1978-09-01   2766706
1978-10-01   2781159
1978-11-01   2782486
1978-12-01   2784477
1979-01-01   2749969
1979-02-01   2772498
1979-03-01   2774140
1979-04-01   2763207
1979-05-01   2778246
1979-06-01   2842769
1979-07-01   2879911
1979-08-01   2867082
1979-09-01   2814676
1979-10-01   2829010
1979-11-01   2819362
1979-12-01   2838815
1980-01-01   2792042
1980-02-01   2812422
1980-03-01   2811423
1980-04-01   2823345
1980-05-01   2855517
1980-06-01   2901066
1980-07-01   2940109
1980-08-01   2913017
1980-09-01   2842859
1980-10-01   2861536
1980-11-01   2855521
1980-12-01   2838939
1981-01-01   2823285
1981-02-01   2854848
1981-03-01   2876734
1981-04-01   2894575
1981-05-01   2932600
1981-06-01   2949393
1981-07-01   2971330
1981-08-01   2955538
1981-09-01   2867918
1981-10-01   2942805
1981-11-01   2949235
1981-12-01   2925362
1982-01-01   2878224
1982-02-01   2903129
1982-03-01   2905055
1982-04-01   2897356
1982-05-01   2955648
1982-06-01   2978789
1982-07-01   3024014
1982-08-01   2997984
1982-09-01   2931593
1982-10-01   2927977
1982-11-01   2925988
1982-12-01   2902234
1983-01-01   2864594
1983-02-01   2875627
1983-03-01   2870762
1983-04-01   2883437
1983-05-01   2913460
1983-06-01   2998039
1983-07-01   3031460
1983-08-01   3026273
1983-09-01   2972196
1983-10-01   2967507
1983-11-01   2974908
1983-12-01   2965975
1984-01-01   2920404
1984-02-01   2952628
1984-03-01   2965253
1984-04-01   2986443
1984-05-01   3044602
1984-06-01   3096150
1984-07-01   3128273
1984-08-01   3093335
1984-09-01   3041248
1984-10-01   3050065
1984-11-01   3041882
1984-12-01   3038118
1985-01-01   3011263
1985-02-01   3031253
1985-03-01   3049836
1985-04-01   3053443
1985-05-01   3097257
1985-06-01   3128340
1985-07-01   3178980
1985-08-01   3160265
1985-09-01   3128443
1985-10-01   3149341
1985-11-01   3150143
1985-12-01   3142603
1986-01-01   3104558
1986-02-01   3130914
1986-03-01   3130779
1986-04-01   3131895
1986-05-01   3168831
1986-06-01   3224095
1986-07-01   3267574
1986-08-01   3244831
1986-09-01   3197717
1986-10-01   3212628
1986-11-01   3214883
1986-12-01   3197063
1987-01-01   3174553
1987-02-01   3197976
1987-03-01   3205724
1987-04-01   3210358
1987-05-01   3266187
1987-06-01   3297636
1987-07-01   3347961
1987-08-01   3339681
1987-09-01   3276973
1987-10-01   3304625
1987-11-01   3299602
1987-12-01   3282239
1988-01-01   3256095
1988-02-01   3272049
1988-03-01   3257631
1988-04-01   3269182
1988-05-01   3296194
1988-06-01   3343134
1988-07-01   3394456
1988-08-01   3378498
1988-09-01   3333341
1988-10-01   3350076
1988-11-01   3355751
1988-12-01   3338104
1989-01-01   3326409
1989-02-01   3338539
1989-03-01   3340305
1989-04-01   3360819
1989-05-01   3392059
1989-06-01   3441037
1989-07-01   3473020
1989-08-01   3454762
1989-09-01   3401245
1989-10-01   3414551
1989-11-01   3415393
1989-12-01   3395092
1990-01-01   3390064
1990-02-01   3418050
1990-03-01   3426923
1990-04-01   3437354
1990-05-01   3486766
1990-06-01   3527052
1990-07-01   3562642
1990-08-01   3524852
1990-09-01   3477394
1990-10-01   3495342
1990-11-01   3488576
1990-12-01   3482982
1991-01-01   3447413
1991-02-01   3470671
1991-03-01   3474911
1991-04-01   3499720
1991-05-01   3527846
1991-06-01   3585846
1991-07-01   3629180
1991-08-01   3591367
1991-09-01   3568307
1991-10-01   3571241
1991-11-01   3558423
1991-12-01   3531195
1992-01-01   3518367
1992-02-01   3536690
1992-03-01   3543211
1992-04-01   3543248
1992-05-01   3590906
1992-06-01   3659058
1992-07-01   3701346
1992-08-01   3673494
1992-09-01   3625168
1992-10-01   3622464
1992-11-01   3627019
1992-12-01   3606278
1993-01-01   3571541
1993-02-01   3595295
1993-03-01   3586942
1993-04-01   3587187
1993-05-01   3633297
1993-06-01   3678565
1993-07-01   3708843
1993-08-01   3675406
1993-09-01   3614626
1993-10-01   3634992
1993-11-01   3633135
1993-12-01   3620520
1994-01-01   3601580
1994-02-01   3624640
1994-03-01   3617391
1994-04-01   3627632
1994-05-01   3675545
1994-06-01   3707363
1994-07-01   3741702
1994-08-01   3738828
1994-09-01   3713127
1994-10-01   3736059
1994-11-01   3738089
1994-12-01   3714085
1995-01-01   3686595
1995-02-01   3709047
1995-03-01   3718230
1995-04-01   3729696
1995-05-01   3743071
1995-06-01   3781223
1995-07-01   3834630
1995-08-01   3795130
1995-09-01   3772577
1995-10-01   3800468
1995-11-01   3803760
1995-12-01   3788042
1996-01-01   3773374
1996-02-01   3812455
1996-03-01   3840156
1996-04-01   3851537
1996-05-01   3906168
1996-06-01   3936357
1996-07-01   3983237
1996-08-01   3938962
1996-09-01   3923432
1996-10-01   3955867
1996-11-01   3956102
1996-12-01   3937357
1997-01-01   3918393
1997-02-01   3939553
1997-03-01   3974855
1997-04-01   3967825
1997-05-01   4004774
1997-06-01   4027903
1997-07-01   4051306
1997-08-01   4009317
1997-09-01   3971009
1997-10-01   3976269
1997-11-01   3989682
1997-12-01   3973263
1998-01-01   3938265
1998-02-01   3957205
1998-03-01   3972772
1998-04-01   3964525
1998-05-01   3991327
1998-06-01   4011966
1998-07-01   4036362
1998-08-01   4005123
1998-09-01   3989759
1998-10-01   4005988
1998-11-01   4008827
1998-12-01   3998531
1999-01-01   3992448
1999-02-01   4014303
1999-03-01   4020207
1999-04-01   4016298
1999-05-01   4047214
1999-06-01   4072452
1999-07-01   4113502
1999-08-01   4084669
1999-09-01   4059977
1999-10-01   4084745
1999-11-01   4093387
1999-12-01   4084864
2000-01-01   4071913
2000-02-01   4101471
2000-03-01   4120147
2000-04-01   4126291
2000-05-01   4136048
2000-06-01   4172942
2000-07-01   4174027
2000-08-01   4160167
2000-09-01   4128711
2000-10-01   4150320
2000-11-01   4154893
2000-12-01   4161346
2001-01-01   4185763
2001-02-01   4200035
2001-03-01   4219397
2001-04-01   4194668
2001-05-01   4203034
2001-06-01   4213029
2001-07-01   4232932
2001-08-01   4179425
2001-09-01   4184699
2001-10-01   4198746
2001-11-01   4191949
2001-12-01   4176376
2002-01-01   4151099
2002-02-01   4191610
2002-03-01   4189215
2002-04-01   4191875
2002-05-01   4201296
2002-06-01   4207451
2002-07-01   4219512
2002-08-01   4190673
2002-09-01   4185261
2002-10-01   4184097
2002-11-01   4160558
2002-12-01   4143907
2003-01-01   4194611
2003-02-01   4232138
2003-03-01   4243220
2003-04-01   4269601
2003-05-01   4274545
2003-06-01   4307938
2003-07-01   4285883
2003-08-01   4251476
2003-09-01   4232445
2003-10-01   4268003
2003-11-01   4272418
2003-12-01   4235293
2004-01-01   4233780
2004-02-01   4232362
2004-03-01   4237817
2004-04-01   4238133
2004-05-01   4248524
2004-06-01   4275331
2004-07-01   4301111
2004-08-01   4256273
2004-09-01   4229311
2004-10-01   4258716
2004-11-01   4273101
2004-12-01   4253048
2005-01-01   4235552
2005-02-01   4258857
2005-03-01   4266717
2005-04-01   4297599
2005-05-01   4317974
2005-06-01   4336522
2005-07-01   4375455
2005-08-01   4346586
2005-09-01   4336689
2005-10-01   4362581
2005-11-01   4352477
2005-12-01   4322127
2006-01-01   4315126
2006-02-01   4344551
2006-03-01   4363750
2006-04-01   4395992
2006-05-01   4433233
2006-06-01   4470318
2006-07-01   4512692
2006-08-01   4489051
2006-09-01   4477962
2006-10-01   4511156
2006-11-01   4525206
2006-12-01   4500569
2007-01-01   4471294
2007-02-01   4470977
2007-03-01   4487643
2007-04-01   4484842
2007-05-01   4510789
2007-06-01   4543831
2007-07-01   4567458
2007-08-01   4511679
2007-09-01   4523810
2007-10-01   4527164
2007-11-01   4544457
2007-12-01   4510327
2008-01-01   4504516
2008-02-01   4493285
2008-03-01   4516291
2008-04-01   4533833
2008-05-01   4564270
2008-06-01   4584954
2008-07-01   4613181
2008-08-01   4571204
2008-09-01   4561535
2008-10-01   4571974
2008-11-01   4614816
2008-12-01   4590845
2009-01-01   4573819
2009-02-01   4582170
2009-03-01   4566401
2009-04-01   4579675
2009-05-01   4593856
2009-06-01   4601743
2009-07-01   4620069
2009-08-01   4569204
2009-09-01   4548553
2009-10-01   4551720
2009-11-01   4552550
2009-12-01   4509710
2010-01-01   4560748
2010-02-01   4578175
2010-03-01   4603654
2010-04-01   4657670
2010-05-01   4663523
2010-06-01   4641162
2010-07-01   4654443
2010-08-01   4623985
2010-09-01   4611717
2010-10-01   4607001
2010-11-01   4618475
2010-12-01   4579735
2011-01-01   4578718
2011-02-01   4587831
2011-03-01   4612453
2011-04-01   4625987
2011-05-01   4648647
2011-06-01   4651492
2011-07-01   4657847
2011-08-01   4643570
2011-09-01   4658035
2011-10-01   4662429
2011-11-01   4649485
2011-12-01   4620368
2012-01-01   4607262
2012-02-01   4639967
2012-03-01   4653067
2012-04-01   4641263
2012-05-01   4699774
2012-06-01   4702503
2012-07-01   4713622
2012-08-01   4671873
2012-09-01   4704323
2012-10-01   4738036
2012-11-01   4705950
2012-12-01   4683039
2013-01-01   4685947
2013-02-01   4686719
2013-03-01   4680406
2013-04-01   4678447
2013-05-01   4719673
2013-06-01   4726173
2013-07-01   4736504
2013-08-01   4683067
2013-09-01   4704775
2013-10-01   4687603
2013-11-01   4685558
2013-12-01   4640406
2014-01-01   4639949
2014-02-01   4659633
2014-03-01   4697733
2014-04-01   4667281
2014-05-01   4717304
2014-06-01   4715040
2014-07-01   4744036
2014-08-01   4695884
2014-09-01   4706534
2014-10-01   4741647
2014-11-01   4723944
2014-12-01   4679716
2015-01-01   4702462
2015-02-01   4724461
2015-03-01   4738980
2015-04-01   4750039
2015-05-01   4814049
2015-06-01   4798733
2015-07-01   4812068
2015-08-01   4759880
2015-09-01   4767341
2015-10-01   4797068
2015-11-01   4790590
2015-12-01   4770003
2016-01-01   4774951
2016-02-01   4816828
2016-03-01   4850349
2016-04-01   4832411
2016-05-01   4852111
2016-06-01   4866258
2016-07-01   4894401
2016-08-01   4849104
2016-09-01   4884677
2016-10-01   4902611
2016-11-01   4887741
2016-12-01   4846495
2017-01-01   4862112
2017-02-01   4904278
2017-03-01   4933462
2017-04-01   4924665
2017-05-01   4940145
2017-06-01   4953758
2017-07-01   4988088
2017-08-01   4938611
2017-09-01   4989623
2017-10-01   4972021
2017-11-01   4966393
2017-12-01   4927249
2018-01-01   4935590
2018-02-01   4977233
2018-03-01   4995214
2018-04-01   4983756
2018-05-01   5020059
2018-06-01   5041296
2018-07-01   5052642
2018-08-01   4959841
2018-09-01   4957232
2018-10-01   5012886
2018-11-01   4994057
