Title:               Resident Population in Lincoln County, NC
Series ID:           NCLINC9POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  32.682
1971-01-01  33.900
1972-01-01  35.300
1973-01-01  36.700
1974-01-01  37.300
1975-01-01  37.900
1976-01-01  38.300
1977-01-01  39.000
1978-01-01  40.200
1979-01-01  41.100
1980-01-01  42.372
1981-01-01  42.894
1982-01-01  43.361
1983-01-01  43.629
1984-01-01  44.533
1985-01-01  45.601
1986-01-01  46.060
1987-01-01  47.106
1988-01-01  48.521
1989-01-01  49.189
1990-01-01  50.790
1991-01-01  51.947
1992-01-01  53.504
1993-01-01  55.356
1994-01-01  56.921
1995-01-01  57.757
1996-01-01  58.909
1997-01-01  60.343
1998-01-01  61.674
1999-01-01  62.955
2000-01-01  64.133
2001-01-01  65.182
2002-01-01  66.076
2003-01-01  66.950
2004-01-01  67.584
2005-01-01  69.014
2006-01-01  71.079
2007-01-01  72.877
2008-01-01  74.715
2009-01-01  75.973
2010-01-01  78.087
2011-01-01  78.270
2012-01-01  78.714
2013-01-01  79.111
2014-01-01  79.429
2015-01-01  80.504
2016-01-01  81.075
2017-01-01  82.403
