Title:               Civilian Labor Force in Martin County, NC
Series ID:           NCMART7LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:18 AM CST
Notes:               

DATE        VALUE
1990-01-01  12070
1990-02-01  11732
1990-03-01  11979
1990-04-01  11866
1990-05-01  12179
1990-06-01  12527
1990-07-01  12536
1990-08-01  12321
1990-09-01  12119
1990-10-01  12203
1990-11-01  12366
1990-12-01  12240
1991-01-01  12317
1991-02-01  12779
1991-03-01  12608
1991-04-01  12664
1991-05-01  13039
1991-06-01  13157
1991-07-01  13782
1991-08-01  13587
1991-09-01  13244
1991-10-01  13195
1991-11-01  13197
1991-12-01  13006
1992-01-01  13431
1992-02-01  13752
1992-03-01  13533
1992-04-01  13496
1992-05-01  13595
1992-06-01  13966
1992-07-01  13974
1992-08-01  13732
1992-09-01  13541
1992-10-01  13425
1992-11-01  13168
1992-12-01  13186
1993-01-01  13006
1993-02-01  13040
1993-03-01  12940
1993-04-01  12833
1993-05-01  13153
1993-06-01  13246
1993-07-01  13376
1993-08-01  13246
1993-09-01  12778
1993-10-01  12887
1993-11-01  12881
1993-12-01  12514
1994-01-01  12506
1994-02-01  12820
1994-03-01  12787
1994-04-01  12662
1994-05-01  13055
1994-06-01  12932
1994-07-01  13239
1994-08-01  13292
1994-09-01  13038
1994-10-01  13235
1994-11-01  13129
1994-12-01  12704
1995-01-01  12656
1995-02-01  12722
1995-03-01  12873
1995-04-01  12939
1995-05-01  12939
1995-06-01  13050
1995-07-01  14452
1995-08-01  13308
1995-09-01  12891
1995-10-01  12764
1995-11-01  12672
1995-12-01  12640
1996-01-01  12341
1996-02-01  12661
1996-03-01  12679
1996-04-01  12372
1996-05-01  12779
1996-06-01  13438
1996-07-01  13493
1996-08-01  13417
1996-09-01  13028
1996-10-01  13170
1996-11-01  12941
1996-12-01  12666
1997-01-01  12477
1997-02-01  12586
1997-03-01  12475
1997-04-01  12432
1997-05-01  12648
1997-06-01  12650
1997-07-01  12741
1997-08-01  12578
1997-09-01  12202
1997-10-01  12379
1997-11-01  12439
1997-12-01  12125
1998-01-01  11713
1998-02-01  11610
1998-03-01  11622
1998-04-01  11323
1998-05-01  11387
1998-06-01  11523
1998-07-01  11637
1998-08-01  11747
1998-09-01  11857
1998-10-01  12035
1998-11-01  11916
1998-12-01  11515
1999-01-01  11603
1999-02-01  11562
1999-03-01  11677
1999-04-01  11690
1999-05-01  11514
1999-06-01  11542
1999-07-01  12100
1999-08-01  11538
1999-09-01  11909
1999-10-01  11771
1999-11-01  11687
1999-12-01  11138
2000-01-01  11867
2000-02-01  11804
2000-03-01  11907
2000-04-01  11819
2000-05-01  11858
2000-06-01  12004
2000-07-01  11746
2000-08-01  11940
2000-09-01  11885
2000-10-01  11844
2000-11-01  11676
2000-12-01  11674
2001-01-01  11796
2001-02-01  11738
2001-03-01  11835
2001-04-01  11670
2001-05-01  11636
2001-06-01  11608
2001-07-01  11752
2001-08-01  11627
2001-09-01  11819
2001-10-01  11997
2001-11-01  11895
2001-12-01  11627
2002-01-01  11783
2002-02-01  11897
2002-03-01  11909
2002-04-01  11921
2002-05-01  11969
2002-06-01  11795
2002-07-01  11861
2002-08-01  11828
2002-09-01  12027
2002-10-01  12022
2002-11-01  11842
2002-12-01  11769
2003-01-01  12126
2003-02-01  12050
2003-03-01  12104
2003-04-01  12238
2003-05-01  12246
2003-06-01  12279
2003-07-01  12476
2003-08-01  12246
2003-09-01  12050
2003-10-01  12409
2003-11-01  12311
2003-12-01  12133
2004-01-01  12184
2004-02-01  12040
2004-03-01  12027
2004-04-01  12101
2004-05-01  12047
2004-06-01  11927
2004-07-01  11942
2004-08-01  11749
2004-09-01  11945
2004-10-01  12045
2004-11-01  12070
2004-12-01  11992
2005-01-01  11963
2005-02-01  11942
2005-03-01  12030
2005-04-01  12101
2005-05-01  11968
2005-06-01  11833
2005-07-01  11977
2005-08-01  11956
2005-09-01  12022
2005-10-01  12151
2005-11-01  12232
2005-12-01  11953
2006-01-01  11895
2006-02-01  11875
2006-03-01  11842
2006-04-01  11991
2006-05-01  11986
2006-06-01  11934
2006-07-01  11963
2006-08-01  11801
2006-09-01  11896
2006-10-01  11931
2006-11-01  12079
2006-12-01  11882
2007-01-01  12190
2007-02-01  11953
2007-03-01  11971
2007-04-01  12018
2007-05-01  12027
2007-06-01  11969
2007-07-01  11982
2007-08-01  11758
2007-09-01  11887
2007-10-01  12151
2007-11-01  12355
2007-12-01  12003
2008-01-01  11756
2008-02-01  11752
2008-03-01  11881
2008-04-01  11766
2008-05-01  11849
2008-06-01  11826
2008-07-01  12074
2008-08-01  11933
2008-09-01  11688
2008-10-01  11892
2008-11-01  12224
2008-12-01  12048
2009-01-01  12066
2009-02-01  12291
2009-03-01  11986
2009-04-01  11955
2009-05-01  11913
2009-06-01  11715
2009-07-01  11625
2009-08-01  11509
2009-09-01  11736
2009-10-01  11836
