Title:               Resident Population in Mecklenburg County, NC
Series ID:           NCMECK9POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:21 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE           VALUE
1970-01-01   354.656
1971-01-01   360.100
1972-01-01   368.000
1973-01-01   374.000
1974-01-01   377.100
1975-01-01   377.400
1976-01-01   380.300
1977-01-01   383.800
1978-01-01   388.700
1979-01-01   395.700
1980-01-01   404.270
1981-01-01   413.915
1982-01-01   422.435
1983-01-01   428.247
1984-01-01   438.304
1985-01-01   448.881
1986-01-01   459.459
1987-01-01   473.760
1988-01-01   486.215
1989-01-01   499.677
1990-01-01   515.605
1991-01-01   530.897
1992-01-01   542.185
1993-01-01   558.031
1994-01-01   576.276
1995-01-01   596.036
1996-01-01   617.328
1997-01-01   639.479
1998-01-01   660.552
1999-01-01   682.071
2000-01-01   700.802
2001-01-01   720.936
2002-01-01   737.544
2003-01-01   755.396
2004-01-01   774.441
2005-01-01   800.363
2006-01-01   833.428
2007-01-01   865.075
2008-01-01   891.819
2009-01-01   913.311
2010-01-01   923.202
2011-01-01   944.943
2012-01-01   968.204
2013-01-01   991.619
2014-01-01  1011.315
2015-01-01  1034.442
2016-01-01  1057.237
2017-01-01  1076.837
