Title:               Gross Domestic Product by Industry: Private Industries: Mining for North Carolina
Series ID:           NCMINNQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE         VALUE
2005-01-01   682.7
2005-04-01   723.4
2005-07-01   806.8
2005-10-01  1011.1
2006-01-01   964.1
2006-04-01   837.5
2006-07-01   839.8
2006-10-01   941.1
2007-01-01  1266.9
2007-04-01  1231.5
2007-07-01  1016.5
2007-10-01   882.1
2008-01-01   797.8
2008-04-01   789.9
2008-07-01   837.3
2008-10-01   694.5
2009-01-01   589.7
2009-04-01   744.0
2009-07-01   720.4
2009-10-01   866.5
2010-01-01   634.4
2010-04-01   693.7
2010-07-01   661.2
2010-10-01   557.6
2011-01-01   512.4
2011-04-01   510.5
2011-07-01   441.9
2011-10-01   423.9
2012-01-01   393.0
2012-04-01   363.6
2012-07-01   344.7
2012-10-01   354.4
2013-01-01   373.2
2013-04-01   371.3
2013-07-01   404.0
2013-10-01   396.4
2014-01-01   394.4
2014-04-01   445.8
2014-07-01   448.4
2014-10-01   434.3
2015-01-01   383.7
2015-04-01   447.9
2015-07-01   445.9
2015-10-01   449.3
2016-01-01   439.7
2016-04-01   489.4
2016-07-01   492.5
2016-10-01   478.0
2017-01-01   513.1
2017-04-01   427.3
2017-07-01   411.5
2017-10-01   440.1
2018-01-01   433.3
2018-04-01   459.2
