Title:               Civilian Labor Force in Mitchell County, NC
Series ID:           NCMITC1LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:18 AM CST
Notes:               

DATE       VALUE
1990-01-01  7010
1990-02-01  6767
1990-03-01  6786
1990-04-01  7057
1990-05-01  6809
1990-06-01  6807
1990-07-01  7285
1990-08-01  6907
1990-09-01  6921
1990-10-01  6943
1990-11-01  6953
1990-12-01  6979
1991-01-01  7253
1991-02-01  7333
1991-03-01  7252
1991-04-01  7498
1991-05-01  7056
1991-06-01  7154
1991-07-01  8909
1991-08-01  7121
1991-09-01  7141
1991-10-01  7256
1991-11-01  7325
1991-12-01  7253
1992-01-01  7114
1992-02-01  7060
1992-03-01  7152
1992-04-01  7239
1992-05-01  7234
1992-06-01  7428
1992-07-01  7311
1992-08-01  7241
1992-09-01  7160
1992-10-01  7107
1992-11-01  7134
1992-12-01  7115
1993-01-01  6958
1993-02-01  6914
1993-03-01  6930
1993-04-01  6831
1993-05-01  6864
1993-06-01  6918
1993-07-01  7051
1993-08-01  6955
1993-09-01  6654
1993-10-01  6631
1993-11-01  6674
1993-12-01  6746
1994-01-01  6713
1994-02-01  6745
1994-03-01  6614
1994-04-01  6568
1994-05-01  6729
1994-06-01  6760
1994-07-01  6950
1994-08-01  6730
1994-09-01  6569
1994-10-01  6536
1994-11-01  6637
1994-12-01  6580
1995-01-01  7162
1995-02-01  7047
1995-03-01  7027
1995-04-01  7016
1995-05-01  6986
1995-06-01  7147
1995-07-01  7343
1995-08-01  7077
1995-09-01  6983
1995-10-01  6920
1995-11-01  6991
1995-12-01  6984
1996-01-01  7496
1996-02-01  7326
1996-03-01  7383
1996-04-01  7306
1996-05-01  7443
1996-06-01  7450
1996-07-01  7788
1996-08-01  7477
1996-09-01  7512
1996-10-01  7590
1996-11-01  7577
1996-12-01  7518
1997-01-01  7892
1997-02-01  7791
1997-03-01  7742
1997-04-01  7699
1997-05-01  7662
1997-06-01  7683
1997-07-01  7863
1997-08-01  7502
1997-09-01  7264
1997-10-01  7210
1997-11-01  7303
1997-12-01  7193
1998-01-01  7418
1998-02-01  7301
1998-03-01  7163
