Title:               Resident Population in Mitchell County, NC
Series ID:           NCMITC1POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  13.447
1971-01-01  13.800
1972-01-01  13.800
1973-01-01  13.900
1974-01-01  13.900
1975-01-01  14.100
1976-01-01  14.300
1977-01-01  14.400
1978-01-01  14.600
1979-01-01  14.400
1980-01-01  14.428
1981-01-01  14.383
1982-01-01  14.316
1983-01-01  14.185
1984-01-01  14.302
1985-01-01  14.395
1986-01-01  14.315
1987-01-01  14.309
1988-01-01  14.431
1989-01-01  14.392
1990-01-01  14.469
1991-01-01  14.564
1992-01-01  14.671
1993-01-01  14.802
1994-01-01  14.865
1995-01-01  15.075
1996-01-01  15.175
1997-01-01  15.235
1998-01-01  15.367
1999-01-01  15.498
2000-01-01  15.688
2001-01-01  15.815
2002-01-01  15.810
2003-01-01  15.781
2004-01-01  15.862
2005-01-01  15.781
2006-01-01  15.613
2007-01-01  15.663
2008-01-01  15.659
2009-01-01  15.589
2010-01-01  15.509
2011-01-01  15.351
2012-01-01  15.327
2013-01-01  15.310
2014-01-01  15.226
2015-01-01  15.101
2016-01-01  15.068
2017-01-01  15.072
