Title:               Civilian Labor Force in Moore County, NC
Series ID:           NCMOOR0LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  27362
1990-02-01  27377
1990-03-01  27608
1990-04-01  27787
1990-05-01  28082
1990-06-01  28352
1990-07-01  28124
1990-08-01  27726
1990-09-01  27315
1990-10-01  28083
1990-11-01  28123
1990-12-01  28132
1991-01-01  27675
1991-02-01  27677
1991-03-01  27691
1991-04-01  27722
1991-05-01  28130
1991-06-01  28718
1991-07-01  29361
1991-08-01  28656
1991-09-01  28209
1991-10-01  28213
1991-11-01  28079
1991-12-01  28015
1992-01-01  27915
1992-02-01  28025
1992-03-01  28033
1992-04-01  28002
1992-05-01  28443
1992-06-01  29098
1992-07-01  29841
1992-08-01  29283
1992-09-01  28815
1992-10-01  28908
1992-11-01  28619
1992-12-01  28591
1993-01-01  28626
1993-02-01  28706
1993-03-01  28443
1993-04-01  28258
1993-05-01  28613
1993-06-01  28901
1993-07-01  29586
1993-08-01  29211
1993-09-01  28523
1993-10-01  28412
1993-11-01  28269
1993-12-01  28250
1994-01-01  27896
1994-02-01  27984
1994-03-01  27961
1994-04-01  27698
1994-05-01  28238
1994-06-01  28502
1994-07-01  29690
1994-08-01  28624
1994-09-01  29110
1994-10-01  29465
1994-11-01  29130
1994-12-01  28806
1995-01-01  27922
1995-02-01  28000
1995-03-01  28070
1995-04-01  28324
1995-05-01  28368
1995-06-01  28615
1995-07-01  29382
1995-08-01  29282
1995-09-01  28634
1995-10-01  28815
1995-11-01  28699
1995-12-01  28446
1996-01-01  28506
1996-02-01  28775
1996-03-01  29136
1996-04-01  29689
1996-05-01  31659
1996-06-01  30035
1996-07-01  31786
1996-08-01  30267
1996-09-01  29792
1996-10-01  30062
1996-11-01  30077
1996-12-01  29702
1997-01-01  29491
1997-02-01  29850
1997-03-01  29934
1997-04-01  29820
1997-05-01  30220
1997-06-01  30379
1997-07-01  30980
1997-08-01  30419
1997-09-01  29857
1997-10-01  30138
1997-11-01  30083
1997-12-01  29935
1998-01-01  30221
1998-02-01  30292
1998-03-01  30189
1998-04-01  30392
1998-05-01  30407
1998-06-01  30541
1998-07-01  31521
1998-08-01  30775
1998-09-01  30409
1998-10-01  30510
1998-11-01  30260
1998-12-01  30285
1999-01-01  30806
1999-02-01  30762
1999-03-01  30761
1999-04-01  30765
1999-05-01  30911
1999-06-01  31284
1999-07-01  31775
1999-08-01  31118
1999-09-01  30768
1999-10-01  30732
1999-11-01  30959
1999-12-01  30732
2000-01-01  33956
2000-02-01  34154
2000-03-01  34542
2000-04-01  34564
2000-05-01  34699
2000-06-01  35316
2000-07-01  35444
2000-08-01  35109
2000-09-01  34649
2000-10-01  34796
2000-11-01  34666
2000-12-01  34835
2001-01-01  34814
2001-02-01  35078
2001-03-01  35334
2001-04-01  35246
2001-05-01  34980
2001-06-01  35261
2001-07-01  35543
2001-08-01  35088
2001-09-01  35078
2001-10-01  35186
2001-11-01  35163
2001-12-01  34743
2002-01-01  34620
2002-02-01  35014
2002-03-01  34829
2002-04-01  35109
2002-05-01  35294
2002-06-01  35367
2002-07-01  35509
2002-08-01  34803
2002-09-01  34763
2002-10-01  34728
2002-11-01  34582
2002-12-01  34271
2003-01-01  34707
2003-02-01  34971
2003-03-01  35173
2003-04-01  35232
2003-05-01  35421
2003-06-01  35920
2003-07-01  36181
2003-08-01  35743
2003-09-01  35465
2003-10-01  35965
2003-11-01  36028
2003-12-01  35586
2004-01-01  35606
2004-02-01  35526
2004-03-01  35700
2004-04-01  35835
2004-05-01  35821
2004-06-01  36082
2004-07-01  36625
2004-08-01  35859
2004-09-01  35342
2004-10-01  35483
2004-11-01  35625
2004-12-01  35488
2005-01-01  34905
2005-02-01  35071
2005-03-01  35408
2005-04-01  35898
2005-05-01  35917
2005-06-01  36450
2005-07-01  36420
2005-08-01  35874
2005-09-01  36008
2005-10-01  35824
2005-11-01  35674
2005-12-01  35526
2006-01-01  35373
2006-02-01  35666
2006-03-01  35974
2006-04-01  36165
2006-05-01  36147
2006-06-01  36808
2006-07-01  36701
2006-08-01  36275
2006-09-01  36483
2006-10-01  36785
2006-11-01  37024
2006-12-01  36864
2007-01-01  36771
2007-02-01  36685
2007-03-01  37022
2007-04-01  37115
2007-05-01  37254
2007-06-01  37719
2007-07-01  37575
2007-08-01  36954
2007-09-01  37122
2007-10-01  37473
2007-11-01  37468
2007-12-01  37108
2008-01-01  36051
2008-02-01  35453
2008-03-01  36013
2008-04-01  36308
2008-05-01  36352
2008-06-01  36945
2008-07-01  36796
2008-08-01  36373
2008-09-01  36524
2008-10-01  36434
2008-11-01  36713
2008-12-01  36479
2009-01-01  36015
2009-02-01  36326
2009-03-01  36286
2009-04-01  36178
2009-05-01  36460
2009-06-01  36824
2009-07-01  36645
2009-08-01  35920
2009-09-01  36151
2009-10-01  36228
2009-11-01  36264
2009-12-01  35905
2010-01-01  35581
2010-02-01  36056
2010-03-01  36251
2010-04-01  36684
2010-05-01  36771
2010-06-01  36688
2010-07-01  36520
2010-08-01  36175
2010-09-01  36312
2010-10-01  36236
2010-11-01  36481
2010-12-01  36139
2011-01-01  36456
2011-02-01  36478
2011-03-01  36747
2011-04-01  37087
2011-05-01  37642
2011-06-01  37578
2011-07-01  37502
2011-08-01  37140
2011-09-01  37226
2011-10-01  37250
2011-11-01  37066
2011-12-01  36806
2012-01-01  36485
2012-02-01  37050
2012-03-01  37197
2012-04-01  37206
2012-05-01  37789
2012-06-01  37997
2012-07-01  37854
2012-08-01  37382
2012-09-01  37564
2012-10-01  37792
2012-11-01  37943
2012-12-01  37433
2013-01-01  37644
2013-02-01  37606
2013-03-01  37481
2013-04-01  37792
2013-05-01  38136
2013-06-01  38450
2013-07-01  38252
2013-08-01  37770
2013-09-01  38019
2013-10-01  38017
2013-11-01  38058
2013-12-01  37568
2014-01-01  37636
2014-02-01  37684
2014-03-01  38468
2014-04-01  38290
2014-05-01  38535
2014-06-01  39845
2014-07-01  38695
2014-08-01  37531
2014-09-01  37789
2014-10-01  38240
2014-11-01  38038
2014-12-01  37469
2015-01-01  37757
2015-02-01  37715
2015-03-01  38154
2015-04-01  38064
2015-05-01  38697
2015-06-01  38771
2015-07-01  38351
2015-08-01  38032
2015-09-01  38352
2015-10-01  38714
2015-11-01  38669
2015-12-01  38192
2016-01-01  38595
2016-02-01  38902
2016-03-01  39450
2016-04-01  39056
2016-05-01  39350
2016-06-01  39616
2016-07-01  39487
2016-08-01  39402
2016-09-01  39685
2016-10-01  40289
2016-11-01  40214
2016-12-01  39587
2017-01-01  39093
2017-02-01  39535
2017-03-01  39961
2017-04-01  39800
2017-05-01  39940
2017-06-01  40087
2017-07-01  39851
2017-08-01  39806
2017-09-01  40502
2017-10-01  40322
2017-11-01  40294
2017-12-01  39875
2018-01-01  39685
2018-02-01  40255
2018-03-01  40535
2018-04-01  40462
2018-05-01  40306
2018-06-01  40529
2018-07-01  40103
2018-08-01  40458
2018-09-01  40771
2018-10-01  41250
2018-11-01  41179
