Title:               All Employees: Total Nonfarm in North Carolina
Series ID:           NCNA
Source:              U.S. Bureau of Labor Statistics
Release:             State Employment and Unemployment
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2018-12-24 12:31 PM CST
Notes:               

DATE         VALUE
1990-01-01  3125.6
1990-02-01  3136.1
1990-03-01  3142.3
1990-04-01  3140.4
1990-05-01  3137.5
1990-06-01  3134.2
1990-07-01  3130.7
1990-08-01  3117.6
1990-09-01  3119.0
1990-10-01  3103.2
1990-11-01  3106.6
1990-12-01  3098.5
1991-01-01  3092.6
1991-02-01  3078.2
1991-03-01  3069.0
1991-04-01  3069.9
1991-05-01  3066.8
1991-06-01  3062.6
1991-07-01  3073.4
1991-08-01  3074.4
1991-09-01  3080.0
1991-10-01  3088.1
1991-11-01  3084.5
1991-12-01  3086.4
1992-01-01  3103.0
1992-02-01  3105.6
1992-03-01  3111.9
1992-04-01  3119.0
1992-05-01  3133.1
1992-06-01  3141.6
1992-07-01  3141.9
1992-08-01  3151.1
1992-09-01  3157.2
1992-10-01  3165.6
1992-11-01  3172.3
1992-12-01  3179.1
1993-01-01  3191.6
1993-02-01  3204.1
1993-03-01  3200.8
1993-04-01  3220.0
1993-05-01  3227.5
1993-06-01  3237.4
1993-07-01  3254.3
1993-08-01  3256.5
1993-09-01  3263.8
1993-10-01  3271.3
1993-11-01  3285.8
1993-12-01  3296.5
1994-01-01  3299.3
1994-02-01  3304.9
1994-03-01  3318.2
1994-04-01  3328.3
1994-05-01  3335.5
1994-06-01  3350.8
1994-07-01  3357.8
1994-08-01  3362.3
1994-09-01  3383.1
1994-10-01  3385.5
1994-11-01  3397.5
1994-12-01  3405.4
1995-01-01  3420.8
1995-02-01  3422.4
1995-03-01  3431.8
1995-04-01  3434.3
1995-05-01  3437.8
1995-06-01  3448.7
1995-07-01  3453.1
1995-08-01  3448.1
1995-09-01  3469.2
1995-10-01  3478.7
1995-11-01  3483.3
1995-12-01  3492.2
1996-01-01  3474.7
1996-02-01  3497.5
1996-03-01  3507.2
1996-04-01  3514.0
1996-05-01  3529.4
