Title:               Resident Population in New Hanover County, NC
Series ID:           NCNEWH9POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE          VALUE
1970-01-01   82.996
1971-01-01   87.400
1972-01-01   91.400
1973-01-01   94.400
1974-01-01   96.700
1975-01-01   98.600
1976-01-01   99.800
1977-01-01  101.500
1978-01-01  100.700
1979-01-01  101.600
1980-01-01  103.471
1981-01-01  105.368
1982-01-01  107.489
1983-01-01  108.586
1984-01-01  110.154
1985-01-01  112.014
1986-01-01  114.273
1987-01-01  115.934
1988-01-01  116.958
1989-01-01  118.238
1990-01-01  121.140
1991-01-01  125.530
1992-01-01  128.946
1993-01-01  133.358
1994-01-01  138.365
1995-01-01  143.950
1996-01-01  148.892
1997-01-01  153.079
1998-01-01  156.948
1999-01-01  158.774
2000-01-01  160.811
2001-01-01  163.810
2002-01-01  167.057
2003-01-01  170.240
2004-01-01  176.022
2005-01-01  182.410
2006-01-01  187.017
2007-01-01  190.058
2008-01-01  192.722
2009-01-01  194.732
2010-01-01  203.282
2011-01-01  206.047
2012-01-01  209.155
2013-01-01  213.042
2014-01-01  216.171
2015-01-01  219.685
2016-01-01  223.234
2017-01-01  227.198
