Title:               Net Income for Commercial Banks in North Carolina
Series ID:           NCNINC
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1984-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:02 AM CST
Notes:               This series represents Net Income (Loss) call item RIAD4340.
                     
                     Geographic location is determined by Abbreviated State Name call item
                     RSSD9200 = 'NC' representing two character state abbreviation of North
                     Carolina.
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE           VALUE
1984-01-01     93743
1984-04-01    187385
1984-07-01    294199
1984-10-01    397364
1985-01-01    118454
1985-04-01    221558
1985-07-01    353566
1985-10-01    478960
1986-01-01    148651
1986-04-01    296383
1986-07-01    447847
1986-10-01    620391
1987-01-01    163620
1987-04-01    291660
1987-07-01    454065
1987-10-01    577494
1988-01-01    179029
1988-04-01    347319
1988-07-01    522584
1988-10-01    700489
1989-01-01    182866
1989-04-01    376205
1989-07-01    564405
1989-10-01    732045
1990-01-01    192590
1990-04-01    350382
1990-07-01    487076
1990-10-01    680160
1991-01-01    171099
1991-04-01    315632
1991-07-01    448107
1991-10-01    584945
1992-01-01    241268
1992-04-01    432622
1992-07-01    682066
1992-10-01    907430
1993-01-01    273830
1993-04-01    559222
1993-07-01    846689
1993-10-01   1127551
1994-01-01    285332
1994-04-01    573080
1994-07-01    854319
1994-10-01   1108540
1995-01-01    217648
1995-04-01    501572
1995-07-01   1165973
1995-10-01   1643447
1996-01-01    394535
1996-04-01    885041
1996-07-01   1331869
1996-10-01   1941763
1997-01-01    579510
1997-04-01   2163282
1997-07-01   3596277
1997-10-01   4658986
1998-01-01   1582247
1998-04-01   3214677
1998-07-01   5329821
1998-10-01   8269245
1999-01-01   1941064
1999-04-01   3938101
1999-07-01   8447306
1999-10-01  11380476
2000-01-01   3198529
2000-04-01   3151660
2000-07-01   5900141
2000-10-01   8209491
2001-01-01   2615536
2001-04-01   5577663
2001-07-01   6154678
2001-10-01   9618599
2002-01-01   3314299
2002-04-01   6701502
2002-07-01  10100950
2002-10-01  13260208
2003-01-01   3458591
2003-04-01   7086590
2003-07-01  11040810
2003-10-01  14720114
2004-01-01   3721226
2004-04-01   7883473
2004-07-01  12518378
2004-10-01  16357212
2005-01-01   5160958
2005-04-01  11738773
2005-07-01  17237647
2005-10-01  22797245
2006-01-01   5464299
2006-04-01  11272138
2006-07-01  17647472
2006-10-01  23889321
2007-01-01   5952586
2007-04-01  12247862
2007-07-01  16703715
2007-10-01  18082262
2008-01-01   1343840
2008-04-01   2642999
2008-07-01   4525210
2008-10-01   5570877
2009-01-01   3689387
2009-04-01   6470000
2009-07-01   7371406
2009-10-01   9518277
2010-01-01   1389754
2010-04-01   2798896
2010-07-01   6316177
2010-10-01   9116568
2011-01-01   2622977
2011-04-01   4084305
2011-07-01   7446237
2011-10-01  10289058
2012-01-01   3630249
2012-04-01   7847685
2012-07-01  11255505
2012-10-01  14141589
2013-01-01   5458722
2013-04-01   9930571
2013-07-01  14157410
2013-10-01  18377640
2014-01-01   3502122
2014-04-01   7281003
2014-07-01  10981255
2014-10-01  19556785
2015-01-01   4825528
2015-04-01  10842271
2015-07-01  16085170
2015-10-01  21656173
2016-01-01   4407638
2016-04-01   9562523
2016-07-01  16995479
2016-10-01  22687278
2017-01-01   5486097
2017-04-01  12499239
2017-07-01  18671605
2017-10-01  24188685
2018-01-01   7644909
2018-04-01  15849381
2018-07-01  24422133
