Title:               Resident Population in Northampton County, NC
Series ID:           NCNORT1POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  23.099
1971-01-01  23.900
1972-01-01  23.900
1973-01-01  23.000
1974-01-01  22.800
1975-01-01  22.900
1976-01-01  23.000
1977-01-01  23.000
1978-01-01  23.000
1979-01-01  22.800
1980-01-01  22.195
1981-01-01  22.084
1982-01-01  21.941
1983-01-01  21.863
1984-01-01  21.897
1985-01-01  21.912
1986-01-01  21.957
1987-01-01  21.547
1988-01-01  21.184
1989-01-01  20.939
1990-01-01  21.032
1991-01-01  21.051
1992-01-01  20.983
1993-01-01  21.027
1994-01-01  21.202
1995-01-01  21.507
1996-01-01  21.744
1997-01-01  21.884
1998-01-01  21.986
1999-01-01  21.981
2000-01-01  21.990
2001-01-01  21.785
2002-01-01  21.565
2003-01-01  21.366
2004-01-01  21.020
2005-01-01  20.982
2006-01-01  20.697
2007-01-01  20.658
2008-01-01  20.423
2009-01-01  20.077
2010-01-01  22.034
2011-01-01  21.923
2012-01-01  21.291
2013-01-01  20.872
2014-01-01  20.673
2015-01-01  20.556
2016-01-01  20.166
2017-01-01  19.862
