Title:               Dividends, Interest and Rent in North Carolina
Series ID:           NCODIV
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               Please visit http://research.stlouisfed.org/fred2/personalincome for
                     documentation on the derivation of personal income.

DATE          VALUE
1998-01-01  38261.1
1998-04-01  39111.9
1998-07-01  39517.8
1998-10-01  39324.6
1999-01-01  38942.6
1999-04-01  39222.2
1999-07-01  39506.9
1999-10-01  40078.4
2000-01-01  40998.5
2000-04-01  41575.6
2000-07-01  42016.3
2000-10-01  42324.8
2001-01-01  42327.3
2001-04-01  42156.7
2001-07-01  41733.3
2001-10-01  41162.5
2002-01-01  40655.4
2002-04-01  40737.8
2002-07-01  40279.1
2002-10-01  40742.9
2003-01-01  41386.0
2003-04-01  41176.8
2003-07-01  41771.0
2003-10-01  42789.9
2004-01-01  43833.7
2004-04-01  44998.2
2004-07-01  45568.6
2004-10-01  48197.2
2005-01-01  48036.3
2005-04-01  49588.7
2005-07-01  49532.9
2005-10-01  51925.8
2006-01-01  52623.2
2006-04-01  53772.9
2006-07-01  54224.3
2006-10-01  54933.7
2007-01-01  56829.5
2007-04-01  60108.1
2007-07-01  61165.9
2007-10-01  61835.1
2008-01-01  63081.5
2008-04-01  62806.5
2008-07-01  63727.0
2008-10-01  62253.1
2009-01-01  58754.4
2009-04-01  57550.5
2009-07-01  55889.9
2009-10-01  54443.0
2010-01-01  54073.9
2010-04-01  54474.2
2010-07-01  54991.9
2010-10-01  56989.4
2011-01-01  59655.1
2011-04-01  60820.6
2011-07-01  61354.8
2011-10-01  63247.6
2012-01-01  64505.5
2012-04-01  65567.7
2012-07-01  63886.8
2012-10-01  69548.5
2013-01-01  63328.9
2013-04-01  64174.7
2013-07-01  65792.3
2013-10-01  66951.3
2014-01-01  69325.6
2014-04-01  72191.0
2014-07-01  74192.4
2014-10-01  75236.8
2015-01-01  75926.3
2015-04-01  78827.4
2015-07-01  80319.4
2015-10-01  79800.6
2016-01-01  80195.2
2016-04-01  81004.3
2016-07-01  81566.2
2016-10-01  82382.6
2017-01-01  84290.2
2017-04-01  84203.5
2017-07-01  84415.5
2017-10-01  86982.8
2018-01-01  87844.8
2018-04-01  88725.6
2018-07-01  89601.5
