Title:               Proprietors' Farm Income in North Carolina
Series ID:           NCOFAR
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               

DATE         VALUE
1998-01-01  2103.3
1998-04-01  1788.5
1998-07-01  1752.8
1998-10-01  2017.2
1999-01-01  2296.1
1999-04-01  1808.1
1999-07-01  1471.9
1999-10-01  1391.6
2000-01-01  2044.6
2000-04-01  2680.3
2000-07-01  2579.3
2000-10-01  2778.4
2001-01-01  2647.3
2001-04-01  2592.8
2001-07-01  2562.0
2001-10-01  2620.6
2002-01-01   790.3
2002-04-01   713.0
2002-07-01   950.1
2002-10-01  1157.3
2003-01-01   937.9
2003-04-01  1117.3
2003-07-01  1110.6
2003-10-01  1048.8
2004-01-01  1942.8
2004-04-01  1866.6
2004-07-01  1651.0
2004-10-01  1768.2
2005-01-01  2631.9
2005-04-01  2853.2
2005-07-01  2759.8
2005-10-01  2419.7
2006-01-01  2201.4
2006-04-01  2068.6
2006-07-01  1968.0
2006-10-01  1797.9
2007-01-01  1719.4
2007-04-01  1502.8
2007-07-01  1489.7
2007-10-01  1492.8
2008-01-01  1954.3
2008-04-01  1763.1
2008-07-01  1324.7
2008-10-01  1254.4
2009-01-01  1441.9
2009-04-01  1559.6
2009-07-01  1763.5
2009-10-01  2098.4
2010-01-01  1715.0
2010-04-01  1974.7
2010-07-01  2105.3
2010-10-01  2099.0
2011-01-01  1811.1
2011-04-01  1542.5
2011-07-01  1477.0
2011-10-01  1327.6
2012-01-01  2656.1
2012-04-01  2343.4
2012-07-01  2062.8
2012-10-01  1919.2
2013-01-01  2582.3
2013-04-01  2938.8
2013-07-01  3040.7
2013-10-01  2416.1
2014-01-01  2805.8
2014-04-01  3191.7
2014-07-01  3027.7
2014-10-01  3154.1
2015-01-01  2465.3
2015-04-01  2584.4
2015-07-01  2688.5
2015-10-01  2170.4
2016-01-01  1906.2
2016-04-01  1958.4
2016-07-01  1735.8
2016-10-01  1503.6
2017-01-01  2282.3
2017-04-01  2362.6
2017-07-01  2182.1
2017-10-01  2173.6
2018-01-01  2589.6
2018-04-01  2628.3
2018-07-01  1453.4
