Title:               Proprietors' Nonfarm Income in North Carolina
Series ID:           NCONON
Source:              Federal Reserve Bank of St. Louis, U.S. Bureau of Economic Analysis
Release:             State Personal Income (Quarterly)
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Dollars
Date Range:          1998-01-01 to 2018-07-01
Last Updated:        2018-12-20 11:32 AM CST
Notes:               

DATE          VALUE
1998-01-01  11868.7
1998-04-01  12289.9
1998-07-01  12653.0
1998-10-01  13122.5
1999-01-01  11909.7
1999-04-01  12175.6
1999-07-01  12424.5
1999-10-01  12763.7
2000-01-01  11444.0
2000-04-01  12000.2
2000-07-01  12170.3
2000-10-01  12579.6
2001-01-01  10754.5
2001-04-01  11054.1
2001-07-01  11366.5
2001-10-01  11370.3
2002-01-01  12255.2
2002-04-01  12453.2
2002-07-01  12371.9
2002-10-01  12305.4
2003-01-01  13849.3
2003-04-01  13863.1
2003-07-01  14024.1
2003-10-01  14195.3
2004-01-01  17235.1
2004-04-01  17607.1
2004-07-01  17824.7
2004-10-01  18054.5
2005-01-01  19851.2
2005-04-01  19427.8
2005-07-01  20056.0
2005-10-01  20639.9
2006-01-01  25876.4
2006-04-01  25774.0
2006-07-01  25365.7
2006-10-01  25548.7
2007-01-01  30846.5
2007-04-01  29673.7
2007-07-01  28365.9
2007-10-01  27653.9
2008-01-01  36866.1
2008-04-01  35131.0
2008-07-01  35335.3
2008-10-01  38640.1
2009-01-01  25457.1
2009-04-01  28847.6
2009-07-01  31686.3
2009-10-01  33998.3
2010-01-01  25152.4
2010-04-01  25941.8
2010-07-01  25303.5
2010-10-01  24696.4
2011-01-01  22854.4
2011-04-01  23000.9
2011-07-01  23643.2
2011-10-01  24090.2
2012-01-01  31692.3
2012-04-01  33345.6
2012-07-01  32401.6
2012-10-01  32385.4
2013-01-01  26164.9
2013-04-01  26326.8
2013-07-01  26077.0
2013-10-01  25998.7
2014-01-01  26484.3
2014-04-01  26753.7
2014-07-01  27284.3
2014-10-01  27271.3
2015-01-01  27869.2
2015-04-01  27889.7
2015-07-01  28240.3
2015-10-01  28184.4
2016-01-01  29981.1
2016-04-01  29742.2
2016-07-01  30096.5
2016-10-01  30623.0
2017-01-01  31551.8
2017-04-01  31915.9
2017-07-01  32416.0
2017-10-01  32812.9
2018-01-01  33288.0
2018-04-01  33871.3
2018-07-01  34293.4
