Title:               Civilian Labor Force in Orange County, NC
Series ID:           NCORAN2LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  51605
1990-02-01  52444
1990-03-01  52837
1990-04-01  52732
1990-05-01  52978
1990-06-01  53596
1990-07-01  54491
1990-08-01  54358
1990-09-01  53590
1990-10-01  53776
1990-11-01  53718
1990-12-01  53731
1991-01-01  52718
1991-02-01  53504
1991-03-01  53813
1991-04-01  54232
1991-05-01  54106
1991-06-01  54779
1991-07-01  55609
1991-08-01  55536
1991-09-01  55405
1991-10-01  55865
1991-11-01  55652
1991-12-01  55570
1992-01-01  54414
1992-02-01  54849
1992-03-01  55270
1992-04-01  54958
1992-05-01  55439
1992-06-01  56262
1992-07-01  57726
1992-08-01  57361
1992-09-01  56680
1992-10-01  57017
1992-11-01  57087
1992-12-01  56920
1993-01-01  56387
1993-02-01  57052
1993-03-01  57142
1993-04-01  56867
1993-05-01  57519
1993-06-01  57924
1993-07-01  58886
1993-08-01  58687
1993-09-01  57766
1993-10-01  57211
1993-11-01  58118
1993-12-01  57919
1994-01-01  58324
1994-02-01  58851
1994-03-01  58935
1994-04-01  58785
1994-05-01  59098
1994-06-01  59505
1994-07-01  59251
1994-08-01  59756
1994-09-01  59046
1994-10-01  59745
1994-11-01  60130
1994-12-01  60013
1995-01-01  58512
1995-02-01  59133
1995-03-01  59261
1995-04-01  59083
1995-05-01  59400
1995-06-01  59888
1995-07-01  60891
1995-08-01  60604
1995-09-01  60525
1995-10-01  61540
1995-11-01  61633
1995-12-01  61099
1996-01-01  58820
1996-02-01  60288
1996-03-01  60928
1996-04-01  60719
1996-05-01  61500
1996-06-01  62003
1996-07-01  63020
1996-08-01  62526
1996-09-01  62405
1996-10-01  63251
1996-11-01  63357
1996-12-01  63045
1997-01-01  61773
1997-02-01  62609
1997-03-01  63467
1997-04-01  63876
1997-05-01  63945
1997-06-01  64050
1997-07-01  64577
1997-08-01  64013
1997-09-01  63522
1997-10-01  64785
1997-11-01  65217
1997-12-01  64638
1998-01-01  63079
1998-02-01  63861
1998-03-01  64197
1998-04-01  64579
1998-05-01  64613
1998-06-01  64769
1998-07-01  64979
1998-08-01  64110
1998-09-01  64317
1998-10-01  64873
1998-11-01  65113
1998-12-01  64973
1999-01-01  63684
1999-02-01  64483
1999-03-01  64875
1999-04-01  64929
1999-05-01  65418
1999-06-01  66051
1999-07-01  66410
1999-08-01  65710
1999-09-01  65461
1999-10-01  66118
1999-11-01  66362
1999-12-01  66554
2000-01-01  63793
2000-02-01  64999
2000-03-01  65356
2000-04-01  65384
2000-05-01  64921
2000-06-01  65370
2000-07-01  65377
2000-08-01  64626
2000-09-01  64255
2000-10-01  65027
2000-11-01  65482
2000-12-01  65827
2001-01-01  66436
2001-02-01  67134
2001-03-01  67745
2001-04-01  67131
2001-05-01  66890
2001-06-01  66998
2001-07-01  67269
2001-08-01  65465
2001-09-01  65488
2001-10-01  66078
2001-11-01  65894
2001-12-01  66253
2002-01-01  64566
2002-02-01  65267
2002-03-01  65740
2002-04-01  65694
2002-05-01  65634
2002-06-01  65652
2002-07-01  65131
2002-08-01  64800
2002-09-01  64560
2002-10-01  64207
2002-11-01  63774
2002-12-01  63208
2003-01-01  63663
2003-02-01  64338
2003-03-01  64711
2003-04-01  64445
2003-05-01  64273
2003-06-01  64995
2003-07-01  64771
2003-08-01  64186
2003-09-01  64083
2003-10-01  64038
2003-11-01  64497
2003-12-01  64156
2004-01-01  63682
2004-02-01  63856
2004-03-01  63893
2004-04-01  63615
2004-05-01  63965
2004-06-01  64735
2004-07-01  65285
2004-08-01  64322
2004-09-01  63788
2004-10-01  63859
2004-11-01  64477
2004-12-01  64000
2005-01-01  63422
2005-02-01  63922
2005-03-01  64178
2005-04-01  64445
2005-05-01  64656
2005-06-01  65422
2005-07-01  66385
2005-08-01  65847
2005-09-01  65570
2005-10-01  65497
2005-11-01  65710
2005-12-01  65664
2006-01-01  65100
2006-02-01  65734
2006-03-01  66006
2006-04-01  66001
2006-05-01  66652
2006-06-01  67519
2006-07-01  68320
2006-08-01  67961
2006-09-01  67656
2006-10-01  67913
2006-11-01  68296
2006-12-01  68179
2007-01-01  66951
2007-02-01  67425
2007-03-01  67669
2007-04-01  67284
2007-05-01  67435
2007-06-01  68488
2007-07-01  69067
2007-08-01  68271
2007-09-01  68492
2007-10-01  67870
2007-11-01  68243
2007-12-01  67801
2008-01-01  68570
2008-02-01  68658
2008-03-01  68957
2008-04-01  69324
2008-05-01  69680
2008-06-01  70244
2008-07-01  71088
2008-08-01  70030
2008-09-01  70012
2008-10-01  69878
2008-11-01  70361
2008-12-01  69980
2009-01-01  69779
2009-02-01  70061
2009-03-01  69894
2009-04-01  70177
2009-05-01  70381
2009-06-01  70859
2009-07-01  71077
2009-08-01  70230
2009-09-01  69824
2009-10-01  69350
2009-11-01  69521
2009-12-01  68834
2010-01-01  68520
2010-02-01  69007
2010-03-01  69461
2010-04-01  70621
2010-05-01  70500
2010-06-01  70401
2010-07-01  71318
2010-08-01  70415
2010-09-01  70067
2010-10-01  69756
2010-11-01  69917
2010-12-01  69565
2011-01-01  69185
2011-02-01  69309
2011-03-01  69651
2011-04-01  70275
2011-05-01  70235
2011-06-01  70268
2011-07-01  70450
2011-08-01  70005
2011-09-01  70643
2011-10-01  70860
2011-11-01  70795
2011-12-01  70397
2012-01-01  70708
2012-02-01  71351
2012-03-01  71685
2012-04-01  71716
2012-05-01  72128
2012-06-01  72365
2012-07-01  72674
2012-08-01  71602
2012-09-01  72465
2012-10-01  73049
2012-11-01  72712
2012-12-01  72466
2013-01-01  72271
2013-02-01  72375
2013-03-01  72534
2013-04-01  72547
2013-05-01  72767
2013-06-01  72915
2013-07-01  73389
2013-08-01  72467
2013-09-01  72853
2013-10-01  72700
2013-11-01  72779
2013-12-01  72176
2014-01-01  71343
2014-02-01  72101
2014-03-01  72773
2014-04-01  72329
2014-05-01  72669
2014-06-01  72301
2014-07-01  73471
2014-08-01  72967
2014-09-01  72960
2014-10-01  73366
2014-11-01  73238
2014-12-01  72770
2015-01-01  72852
2015-02-01  73240
2015-03-01  73067
2015-04-01  73029
2015-05-01  74033
2015-06-01  73045
2015-07-01  73702
2015-08-01  72875
2015-09-01  73044
2015-10-01  73897
2015-11-01  73971
2015-12-01  73704
2016-01-01  72974
2016-02-01  74273
2016-03-01  74447
2016-04-01  74325
2016-05-01  75094
2016-06-01  75525
2016-07-01  75804
2016-08-01  75175
2016-09-01  75259
2016-10-01  75459
2016-11-01  75250
2016-12-01  74690
2017-01-01  74910
2017-02-01  75813
2017-03-01  76201
2017-04-01  76001
2017-05-01  76454
2017-06-01  76740
2017-07-01  77669
2017-08-01  76722
2017-09-01  77258
2017-10-01  76747
2017-11-01  76794
2017-12-01  75900
2018-01-01  76092
2018-02-01  77187
2018-03-01  77552
2018-04-01  77119
2018-05-01  77898
2018-06-01  78346
2018-07-01  78940
2018-08-01  77460
2018-09-01  77212
2018-10-01  77791
2018-11-01  77697
