Title:               All Employees: Professional and Business Services in North Carolina
Series ID:           NCPBSVN
Source:              U.S. Bureau of Labor Statistics
Release:             State Employment and Unemployment
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2018-12-24 12:32 PM CST
Notes:               

DATE        VALUE
1990-01-01  237.8
1990-02-01  232.0
1990-03-01  234.9
1990-04-01  238.7
1990-05-01  240.5
1990-06-01  242.5
1990-07-01  242.3
1990-08-01  245.3
1990-09-01  244.3
1990-10-01  244.4
1990-11-01  243.1
1990-12-01  240.3
1991-01-01  231.2
1991-02-01  231.9
1991-03-01  232.7
1991-04-01  233.6
1991-05-01  234.5
1991-06-01  236.3
1991-07-01  237.4
1991-08-01  241.9
1991-09-01  244.5
1991-10-01  249.1
1991-11-01  247.9
1991-12-01  246.3
1992-01-01  244.8
1992-02-01  246.7
1992-03-01  250.0
1992-04-01  253.6
1992-05-01  255.2
1992-06-01  260.1
1992-07-01  262.7
1992-08-01  266.2
1992-09-01  267.3
1992-10-01  271.4
1992-11-01  269.1
1992-12-01  269.2
1993-01-01  263.4
1993-02-01  268.9
1993-03-01  270.4
1993-04-01  277.0
1993-05-01  279.3
1993-06-01  281.3
1993-07-01  281.4
1993-08-01  285.2
1993-09-01  286.0
1993-10-01  286.8
1993-11-01  286.2
1993-12-01  285.4
1994-01-01  276.8
1994-02-01  279.2
1994-03-01  284.2
1994-04-01  292.7
1994-05-01  292.0
1994-06-01  296.5
1994-07-01  296.5
1994-08-01  302.3
1994-09-01  303.2
1994-10-01  304.1
1994-11-01  303.6
1994-12-01  303.3
1995-01-01  294.4
1995-02-01  299.1
1995-03-01  301.7
1995-04-01  302.5
1995-05-01  304.8
1995-06-01  309.1
1995-07-01  307.0
1995-08-01  313.0
1995-09-01  315.4
1995-10-01  319.2
1995-11-01  318.8
1995-12-01  319.5
1996-01-01  305.2
1996-02-01  314.9
1996-03-01  320.9
1996-04-01  324.9
1996-05-01  329.2
1996-06-01  333.9
1996-07-01  334.2
1996-08-01  342.0
1996-09-01  341.8
1996-10-01  343.2
1996-11-01  343.4
1996-12-01  344.0
1997-01-01  333.0
1997-02-01  339.2
1997-03-01  345.2
1997-04-01  352.4
1997-05-01  355.2
1997-06-01  359.3
1997-07-01  362.1
1997-08-01  368.4
1997-09-01  371.8
1997-10-01  368.9
1997-11-01  369.0
1997-12-01  369.5
1998-01-01  355.4
1998-02-01  359.9
1998-03-01  363.8
1998-04-01  374.4
1998-05-01  379.3
1998-06-01  386.0
1998-07-01  387.6
1998-08-01  392.3
1998-09-01  392.5
1998-10-01  393.8
1998-11-01  395.1
1998-12-01  395.3
1999-01-01  383.6
1999-02-01  392.1
1999-03-01  396.0
1999-04-01  404.5
1999-05-01  404.8
1999-06-01  410.4
1999-07-01  407.6
1999-08-01  410.7
1999-09-01  409.8
1999-10-01  418.8
1999-11-01  417.3
1999-12-01  417.1
2000-01-01  404.8
2000-02-01  409.4
2000-03-01  415.6
2000-04-01  419.0
2000-05-01  419.4
2000-06-01  424.6
2000-07-01  423.6
2000-08-01  426.8
2000-09-01  426.2
2000-10-01  426.3
2000-11-01  425.4
2000-12-01  420.6
2001-01-01  408.8
2001-02-01  416.4
2001-03-01  418.0
2001-04-01  422.3
2001-05-01  424.6
2001-06-01  426.6
2001-07-01  417.5
2001-08-01  421.0
2001-09-01  417.8
2001-10-01  418.6
2001-11-01  414.2
2001-12-01  414.8
2002-01-01  404.7
2002-02-01  410.7
2002-03-01  414.9
2002-04-01  420.0
2002-05-01  423.9
2002-06-01  427.2
2002-07-01  422.1
2002-08-01  429.4
2002-09-01  429.8
2002-10-01  427.5
2002-11-01  424.7
2002-12-01  424.4
2003-01-01  412.1
2003-02-01  413.6
2003-03-01  418.4
2003-04-01  422.9
2003-05-01  425.9
2003-06-01  427.1
2003-07-01  417.2
2003-08-01  422.8
2003-09-01  422.8
2003-10-01  426.9
2003-11-01  426.9
2003-12-01  425.9
2004-01-01  416.8
2004-02-01  420.7
2004-03-01  425.5
2004-04-01  428.6
2004-05-01  431.7
2004-06-01  434.7
2004-07-01  435.4
2004-08-01  439.8
2004-09-01  438.3
2004-10-01  443.2
2004-11-01  441.1
2004-12-01  441.2
2005-01-01  434.1
2005-02-01  435.8
2005-03-01  439.5
2005-04-01  445.2
2005-05-01  441.9
2005-06-01  443.9
2005-07-01  448.2
2005-08-01  452.6
2005-09-01  455.4
2005-10-01  458.2
2005-11-01  457.2
2005-12-01  456.1
2006-01-01  453.6
2006-02-01  457.0
2006-03-01  461.8
2006-04-01  468.4
2006-05-01  471.8
2006-06-01  477.9
2006-07-01  481.3
2006-08-01  486.6
2006-09-01  487.8
2006-10-01  492.2
2006-11-01  492.1
2006-12-01  491.0
2007-01-01  476.0
2007-02-01  483.0
2007-03-01  488.6
2007-04-01  493.4
2007-05-01  497.0
2007-06-01  504.0
2007-07-01  501.0
2007-08-01  505.7
2007-09-01  507.3
2007-10-01  509.9
2007-11-01  507.5
2007-12-01  507.7
2008-01-01  496.6
2008-02-01  500.3
2008-03-01  502.1
2008-04-01  504.2
2008-05-01  505.3
2008-06-01  507.3
2008-07-01  502.7
2008-08-01  507.2
2008-09-01  503.0
2008-10-01  500.8
2008-11-01  490.8
2008-12-01  484.4
2009-01-01  468.9
2009-02-01  466.2
2009-03-01  462.0
2009-04-01  459.7
2009-05-01  458.2
2009-06-01  458.7
2009-07-01  460.0
2009-08-01  463.2
2009-09-01  464.9
2009-10-01  471.2
2009-11-01  472.7
2009-12-01  471.8
2010-01-01  460.4
2010-02-01  463.2
2010-03-01  468.2
2010-04-01  476.0
2010-05-01  476.0
2010-06-01  480.8
2010-07-01  487.6
2010-08-01  491.7
2010-09-01  492.8
2010-10-01  504.1
2010-11-01  502.5
2010-12-01  501.7
2011-01-01  489.1
2011-02-01  498.8
2011-03-01  502.3
2011-04-01  508.3
2011-05-01  507.4
2011-06-01  512.0
2011-07-01  514.8
2011-08-01  519.2
2011-09-01  522.9
2011-10-01  524.9
2011-11-01  524.7
2011-12-01  524.2
2012-01-01  513.4
2012-02-01  520.9
2012-03-01  525.0
2012-04-01  529.3
2012-05-01  531.0
2012-06-01  534.4
2012-07-01  532.0
2012-08-01  538.4
2012-09-01  537.8
2012-10-01  540.9
2012-11-01  540.9
2012-12-01  540.6
2013-01-01  524.8
2013-02-01  533.9
2013-03-01  537.8
2013-04-01  542.6
2013-05-01  544.0
2013-06-01  547.3
2013-07-01  546.8
2013-08-01  555.0
2013-09-01  555.8
2013-10-01  560.2
2013-11-01  560.1
2013-12-01  556.7
2014-01-01  544.9
2014-02-01  546.0
2014-03-01  555.0
2014-04-01  566.3
2014-05-01  568.1
2014-06-01  572.2
2014-07-01  574.9
2014-08-01  578.2
2014-09-01  577.4
2014-10-01  583.1
2014-11-01  580.8
2014-12-01  581.3
2015-01-01  567.9
2015-02-01  573.7
2015-03-01  574.0
2015-04-01  582.8
2015-05-01  586.3
2015-06-01  589.3
2015-07-01  592.3
2015-08-01  597.7
2015-09-01  598.7
2015-10-01  604.7
2015-11-01  604.7
2015-12-01  601.9
2016-01-01  586.9
2016-02-01  591.5
2016-03-01  596.1
2016-04-01  604.5
2016-05-01  604.0
2016-06-01  607.2
2016-07-01  609.6
2016-08-01  611.3
2016-09-01  612.8
2016-10-01  614.3
2016-11-01  615.0
2016-12-01  609.8
2017-01-01  598.0
2017-02-01  606.0
2017-03-01  609.1
2017-04-01  611.9
2017-05-01  614.1
2017-06-01  620.9
2017-07-01  620.1
2017-08-01  621.7
2017-09-01  618.9
2017-10-01  630.4
2017-11-01  632.0
2017-12-01  633.1
2018-01-01  621.2
2018-02-01  623.1
2018-03-01  625.3
2018-04-01  632.0
2018-05-01  641.6
2018-06-01  640.5
2018-07-01  645.1
2018-08-01  651.5
2018-09-01  647.4
2018-10-01  660.1
2018-11-01  656.0
