Title:               Civilian Labor Force in Pender County, NC
Series ID:           NCPEND1LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  13262
1990-02-01  13256
1990-03-01  13622
1990-04-01  13693
1990-05-01  14255
1990-06-01  14485
1990-07-01  13899
1990-08-01  13538
1990-09-01  13884
1990-10-01  13534
1990-11-01  13702
1990-12-01  13636
1991-01-01  13940
1991-02-01  14034
1991-03-01  14214
1991-04-01  14267
1991-05-01  14700
1991-06-01  15160
1991-07-01  14467
1991-08-01  13963
1991-09-01  14429
1991-10-01  14174
1991-11-01  14222
1991-12-01  14029
1992-01-01  14318
1992-02-01  14519
1992-03-01  14667
1992-04-01  14912
1992-05-01  15501
1992-06-01  16226
1992-07-01  15831
1992-08-01  15685
1992-09-01  15776
1992-10-01  15488
1992-11-01  15315
1992-12-01  15233
1993-01-01  13101
1993-02-01  13214
1993-03-01  13381
1993-04-01  13335
1993-05-01  13825
1993-06-01  14577
1993-07-01  14141
1993-08-01  14007
1993-09-01  13916
1993-10-01  13758
1993-11-01  13680
1993-12-01  13381
1994-01-01  13431
1994-02-01  13789
1994-03-01  13916
1994-04-01  13918
1994-05-01  14511
1994-06-01  14809
1994-07-01  14935
1994-08-01  14966
1994-09-01  14941
1994-10-01  14647
1994-11-01  14523
1994-12-01  14152
1995-01-01  14037
1995-02-01  14067
1995-03-01  14468
1995-04-01  14804
1995-05-01  15135
1995-06-01  15706
1995-07-01  15694
1995-08-01  15428
1995-09-01  15287
1995-10-01  15152
1995-11-01  15050
1995-12-01  14902
1996-01-01  14895
1996-02-01  15284
1996-03-01  15703
1996-04-01  16119
1996-05-01  16540
1996-06-01  16939
1996-07-01  16943
1996-08-01  16740
1996-09-01  16513
1996-10-01  15945
1996-11-01  15889
1996-12-01  15744
1997-01-01  15913
1997-02-01  15983
1997-03-01  16463
1997-04-01  16555
1997-05-01  16957
1997-06-01  17369
1997-07-01  17143
1997-08-01  16657
1997-09-01  16926
1997-10-01  16672
1997-11-01  16515
1997-12-01  16219
1998-01-01  16127
1998-02-01  16235
