Title:               Resident Population in Pender County, NC
Series ID:           NCPEND1POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  18.149
1971-01-01  18.200
1972-01-01  18.600
1973-01-01  19.300
1974-01-01  19.800
1975-01-01  20.200
1976-01-01  20.700
1977-01-01  21.100
1978-01-01  21.400
1979-01-01  21.700
1980-01-01  22.262
1981-01-01  22.550
1982-01-01  22.903
1983-01-01  23.241
1984-01-01  23.757
1985-01-01  24.390
1986-01-01  25.198
1987-01-01  26.226
1988-01-01  27.011
1989-01-01  27.985
1990-01-01  29.086
1991-01-01  30.040
1992-01-01  30.958
1993-01-01  32.537
1994-01-01  33.868
1995-01-01  35.194
1996-01-01  36.604
1997-01-01  38.069
1998-01-01  39.585
1999-01-01  40.538
2000-01-01  41.243
2001-01-01  41.714
2002-01-01  42.591
2003-01-01  43.193
2004-01-01  44.442
2005-01-01  45.855
2006-01-01  47.935
2007-01-01  49.759
2008-01-01  51.244
2009-01-01  52.447
2010-01-01  52.418
2011-01-01  53.195
2012-01-01  53.744
2013-01-01  54.828
2014-01-01  55.954
2015-01-01  57.512
2016-01-01  58.897
2017-01-01  60.958
