Title:               Civilian Labor Force in Perquimans County, NC
Series ID:           NCPERQ3LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE       VALUE
1990-01-01  4386
1990-02-01  4415
1990-03-01  4445
1990-04-01  4420
1990-05-01  4520
1990-06-01  4591
1990-07-01  4519
1990-08-01  4485
1990-09-01  4470
1990-10-01  4539
1990-11-01  4560
1990-12-01  4570
1991-01-01  4284
1991-02-01  4284
1991-03-01  4286
1991-04-01  4362
1991-05-01  4475
1991-06-01  4484
1991-07-01  4385
1991-08-01  4337
1991-09-01  4332
1991-10-01  4330
1991-11-01  4366
1991-12-01  4360
1992-01-01  4285
1992-02-01  4302
1992-03-01  4362
1992-04-01  4397
1992-05-01  4458
1992-06-01  4497
1992-07-01  4391
1992-08-01  4392
1992-09-01  4427
1992-10-01  4415
1992-11-01  4422
1992-12-01  4437
1993-01-01  4414
1993-02-01  4381
1993-03-01  4373
1993-04-01  4348
1993-05-01  4423
1993-06-01  4566
1993-07-01  4493
1993-08-01  4425
1993-09-01  4370
1993-10-01  4381
1993-11-01  4356
1993-12-01  4336
1994-01-01  4201
1994-02-01  4278
1994-03-01  4299
1994-04-01  4344
1994-05-01  4450
1994-06-01  4387
1994-07-01  4494
1994-08-01  4468
1994-09-01  4463
1994-10-01  4506
1994-11-01  4542
1994-12-01  4512
1995-01-01  4514
1995-02-01  4544
1995-03-01  4535
1995-04-01  4620
1995-05-01  4605
1995-06-01  4615
1995-07-01  4755
1995-08-01  4549
1995-09-01  4600
1995-10-01  4663
1995-11-01  4725
1995-12-01  4682
1996-01-01  4656
1996-02-01  4707
1996-03-01  4741
1996-04-01  4733
1996-05-01  4805
1996-06-01  4849
1996-07-01  4899
1996-08-01  4931
1996-09-01  4869
1996-10-01  4914
1996-11-01  4916
1996-12-01  4874
1997-01-01  4768
1997-02-01  4746
1997-03-01  4814
1997-04-01  4787
1997-05-01  4857
