Title:               Civilian Labor Force in Person County, NC
Series ID:           NCPERS5LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  16365
1990-02-01  16508
1990-03-01  16807
1990-04-01  16759
1990-05-01  17464
1990-06-01  17448
1990-07-01  17228
1990-08-01  16597
1990-09-01  15728
1990-10-01  16158
1990-11-01  16378
1990-12-01  16913
1991-01-01  16342
1991-02-01  16271
1991-03-01  16421
1991-04-01  16296
1991-05-01  16551
1991-06-01  16789
1991-07-01  16976
1991-08-01  16791
1991-09-01  16394
1991-10-01  16513
1991-11-01  16369
1991-12-01  16098
1992-01-01  16690
1992-02-01  16472
1992-03-01  16274
1992-04-01  15970
1992-05-01  16204
1992-06-01  16461
1992-07-01  16770
1992-08-01  16660
1992-09-01  16478
1992-10-01  16610
1992-11-01  16292
1992-12-01  16335
1993-01-01  16466
1993-02-01  16485
1993-03-01  16387
1993-04-01  16214
1993-05-01  16501
1993-06-01  16555
1993-07-01  16467
1993-08-01  16410
1993-09-01  16091
1993-10-01  16162
1993-11-01  16028
1993-12-01  15801
1994-01-01  15505
1994-02-01  15749
1994-03-01  15830
1994-04-01  15667
1994-05-01  15850
1994-06-01  16023
1994-07-01  16280
1994-08-01  16414
1994-09-01  16361
1994-10-01  16472
1994-11-01  16229
1994-12-01  15988
1995-01-01  17063
1995-02-01  17209
1995-03-01  17137
1995-04-01  17135
1995-05-01  17268
1995-06-01  17396
1995-07-01  17175
1995-08-01  17326
1995-09-01  17189
1995-10-01  17172
1995-11-01  17218
1995-12-01  17160
1996-01-01  17804
1996-02-01  17722
1996-03-01  18009
1996-04-01  18135
1996-05-01  18555
1996-06-01  18666
1996-07-01  18251
1996-08-01  18176
1996-09-01  18455
1996-10-01  18628
1996-11-01  19114
1996-12-01  19696
1997-01-01  18134
1997-02-01  18189
1997-03-01  18159
1997-04-01  18058
1997-05-01  18432
1997-06-01  18510
1997-07-01  18515
1997-08-01  18528
1997-09-01  18401
1997-10-01  18732
1997-11-01  18753
1997-12-01  18723
1998-01-01  18082
1998-02-01  18264
1998-03-01  18287
1998-04-01  17984
1998-05-01  17821
1998-06-01  17798
1998-07-01  18232
1998-08-01  17579
1998-09-01  17837
1998-10-01  18509
1998-11-01  18027
1998-12-01  17855
1999-01-01  17774
1999-02-01  17864
1999-03-01  17793
1999-04-01  17450
1999-05-01  17568
1999-06-01  17852
1999-07-01  17860
1999-08-01  17625
1999-09-01  17843
1999-10-01  17860
1999-11-01  17638
1999-12-01  17547
2000-01-01  17970
2000-02-01  18254
2000-03-01  18248
2000-04-01  18286
2000-05-01  18179
2000-06-01  18309
2000-07-01  18337
2000-08-01  18065
2000-09-01  18010
2000-10-01  18138
2000-11-01  18305
2000-12-01  18439
2001-01-01  18694
2001-02-01  19059
2001-03-01  19157
2001-04-01  18979
2001-05-01  18919
2001-06-01  18887
2001-07-01  18995
2001-08-01  18526
2001-09-01  18479
2001-10-01  18598
2001-11-01  18730
2001-12-01  18799
2002-01-01  18792
2002-02-01  18879
2002-03-01  18961
2002-04-01  18924
2002-05-01  18861
2002-06-01  18820
2002-07-01  18798
2002-08-01  18582
2002-09-01  18499
2002-10-01  18419
2002-11-01  18443
2002-12-01  18321
2003-01-01  18468
2003-02-01  18730
2003-03-01  18745
2003-04-01  18801
2003-05-01  18589
2003-06-01  18779
2003-07-01  18883
2003-08-01  18615
2003-09-01  18479
2003-10-01  18436
2003-11-01  18607
2003-12-01  18513
2004-01-01  18555
2004-02-01  18579
2004-03-01  18551
2004-04-01  18337
2004-05-01  18285
2004-06-01  18496
2004-07-01  18851
2004-08-01  18416
2004-09-01  18324
2004-10-01  18324
2004-11-01  18485
2004-12-01  18468
2005-01-01  18377
2005-02-01  18619
2005-03-01  18612
2005-04-01  18575
2005-05-01  18580
2005-06-01  18732
2005-07-01  19081
2005-08-01  18835
2005-09-01  18826
2005-10-01  18792
2005-11-01  18842
2005-12-01  18930
2006-01-01  18593
2006-02-01  18785
2006-03-01  18872
2006-04-01  18766
2006-05-01  19056
2006-06-01  19161
2006-07-01  19362
2006-08-01  19329
2006-09-01  19255
2006-10-01  19497
2006-11-01  19660
2006-12-01  19609
2007-01-01  18854
2007-02-01  18852
2007-03-01  18906
2007-04-01  18790
2007-05-01  18794
2007-06-01  18932
2007-07-01  19174
2007-08-01  18890
2007-09-01  18880
2007-10-01  18689
2007-11-01  18816
2007-12-01  18752
2008-01-01  18672
2008-02-01  18696
2008-03-01  18869
2008-04-01  18915
2008-05-01  18900
2008-06-01  19017
2008-07-01  19365
2008-08-01  19022
2008-09-01  18997
2008-10-01  18984
2008-11-01  19333
2008-12-01  19408
2009-01-01  19370
2009-02-01  19392
2009-03-01  19393
2009-04-01  19327
2009-05-01  19317
2009-06-01  19385
2009-07-01  19484
2009-08-01  19066
2009-09-01  19016
2009-10-01  18814
2009-11-01  18930
2009-12-01  18787
2010-01-01  18520
2010-02-01  18585
2010-03-01  18590
2010-04-01  18803
2010-05-01  18770
2010-06-01  18726
2010-07-01  19047
2010-08-01  18828
2010-09-01  18690
2010-10-01  18598
2010-11-01  18711
2010-12-01  18577
2011-01-01  18447
2011-02-01  18417
2011-03-01  18456
2011-04-01  18582
2011-05-01  18591
2011-06-01  18558
2011-07-01  18646
2011-08-01  18529
2011-09-01  18591
2011-10-01  18652
2011-11-01  18667
2011-12-01  18584
2012-01-01  18146
2012-02-01  18347
2012-03-01  18297
2012-04-01  18223
2012-05-01  18404
2012-06-01  18398
2012-07-01  18520
2012-08-01  18288
2012-09-01  18457
2012-10-01  18654
2012-11-01  18518
2012-12-01  18470
2013-01-01  18291
2013-02-01  18351
2013-03-01  18239
2013-04-01  18258
2013-05-01  18334
2013-06-01  18381
2013-07-01  18451
2013-08-01  18160
2013-09-01  18294
2013-10-01  18319
2013-11-01  18280
2013-12-01  18124
2014-01-01  17846
2014-02-01  17993
2014-03-01  17968
2014-04-01  17870
2014-05-01  17933
2014-06-01  17896
2014-07-01  18083
2014-08-01  17927
2014-09-01  17900
2014-10-01  18042
2014-11-01  18035
2014-12-01  17851
2015-01-01  17864
2015-02-01  17954
2015-03-01  17925
2015-04-01  17843
2015-05-01  18013
2015-06-01  17850
2015-07-01  17937
2015-08-01  17660
2015-09-01  17744
2015-10-01  17962
2015-11-01  17997
2015-12-01  17856
2016-01-01  17643
2016-02-01  17926
2016-03-01  18003
2016-04-01  17912
2016-05-01  18023
2016-06-01  18120
2016-07-01  18285
2016-08-01  18002
2016-09-01  18100
2016-10-01  18133
2016-11-01  18100
2016-12-01  17945
2017-01-01  18024
2017-02-01  18283
2017-03-01  18353
2017-04-01  18295
2017-05-01  18334
2017-06-01  18281
2017-07-01  18585
2017-08-01  18303
2017-09-01  18473
2017-10-01  18423
2017-11-01  18344
2017-12-01  18159
2018-01-01  18221
2018-02-01  18530
2018-03-01  18618
2018-04-01  18480
2018-05-01  18659
2018-06-01  18726
2018-07-01  18969
2018-08-01  18517
2018-09-01  18416
2018-10-01  18587
2018-11-01  18516
