Title:               Gross Domestic Product by Industry: Private Industries for North Carolina
Series ID:           NCPINQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE           VALUE
2005-01-01  300275.4
2005-04-01  301028.6
2005-07-01  306592.0
2005-10-01  311425.9
2006-01-01  327532.0
2006-04-01  332710.7
2006-07-01  333792.8
2006-10-01  337068.3
2007-01-01  341469.6
2007-04-01  340765.5
2007-07-01  340154.1
2007-10-01  343854.7
2008-01-01  352714.0
2008-04-01  355692.4
2008-07-01  357457.7
2008-10-01  352807.1
2009-01-01  337710.5
2009-04-01  341735.6
2009-07-01  348249.1
2009-10-01  354605.7
2010-01-01  346498.8
2010-04-01  350195.8
2010-07-01  352654.1
2010-10-01  359845.2
2011-01-01  358421.1
2011-04-01  365221.2
2011-07-01  364203.3
2011-10-01  366034.7
2012-01-01  374722.9
2012-04-01  373820.0
2012-07-01  379106.3
2012-10-01  378281.4
2013-01-01  384884.0
2013-04-01  386497.6
2013-07-01  394100.9
2013-10-01  400530.3
2014-01-01  401112.8
2014-04-01  405695.2
2014-07-01  414038.7
2014-10-01  418478.6
2015-01-01  428133.1
2015-04-01  436010.6
2015-07-01  438938.4
2015-10-01  437443.1
2016-01-01  442631.5
2016-04-01  446416.9
2016-07-01  449139.3
2016-10-01  456618.5
2017-01-01  461340.7
2017-04-01  465702.1
2017-07-01  471439.4
2017-10-01  479045.7
2018-01-01  483326.4
2018-04-01  493147.8
