Title:               Quantity Indexes for Real Gross Domestic Product by Industry: Private Industries for North Carolina
Series ID:           NCPIQQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Index 2012=100
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01   91.875
2005-04-01   92.048
2005-07-01   93.042
2005-10-01   94.016
2006-01-01   98.378
2006-04-01   99.116
2006-07-01   98.863
2006-10-01   99.672
2007-01-01  100.004
2007-04-01   99.141
2007-07-01   98.811
2007-10-01  100.002
2008-01-01  102.311
2008-04-01  103.098
2008-07-01  102.001
2008-10-01   99.081
2009-01-01   94.014
2009-04-01   95.324
2009-07-01   96.994
2009-10-01   98.724
2010-01-01   96.619
2010-04-01   97.297
2010-07-01   97.820
2010-10-01   99.517
2011-01-01   98.858
2011-04-01  100.214
2011-07-01   99.033
2011-10-01   99.457
2012-01-01  100.913
2012-04-01   99.728
2012-07-01  100.092
2012-10-01   99.267
2013-01-01  100.714
2013-04-01  101.025
2013-07-01  102.514
2013-10-01  103.020
2014-01-01  103.111
2014-04-01  103.501
2014-07-01  104.784
2014-10-01  105.183
2015-01-01  107.175
2015-04-01  108.299
2015-07-01  108.055
2015-10-01  107.305
2016-01-01  108.473
2016-04-01  108.561
2016-07-01  108.687
2016-10-01  109.919
2017-01-01  110.831
2017-04-01  111.522
2017-07-01  112.108
2017-10-01  113.151
2018-01-01  113.766
2018-04-01  114.789
