Title:               Real Gross Domestic Product by Industry: Private Industries: Professional and Business Services: Professional, Scientific, and Technical Services for North Carolina
Series ID:           NCPROBUSRQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Chained 2012 Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01  18511.5
2005-04-01  18595.4
2005-07-01  18724.8
2005-10-01  18782.3
2006-01-01  19814.2
2006-04-01  19465.6
2006-07-01  19909.1
2006-10-01  20377.9
2007-01-01  20695.9
2007-04-01  21090.6
2007-07-01  21669.9
2007-10-01  22134.3
2008-01-01  21945.1
2008-04-01  22360.9
2008-07-01  22697.0
2008-10-01  22858.8
2009-01-01  21794.1
2009-04-01  21203.9
2009-07-01  21523.7
2009-10-01  21412.6
2010-01-01  22040.8
2010-04-01  22604.6
2010-07-01  22823.9
2010-10-01  23141.6
2011-01-01  23488.2
2011-04-01  23689.5
2011-07-01  23919.7
2011-10-01  24378.7
2012-01-01  24763.4
2012-04-01  25297.4
2012-07-01  25580.0
2012-10-01  24536.3
2013-01-01  24857.0
2013-04-01  24695.1
2013-07-01  24936.9
2013-10-01  25408.9
2014-01-01  25493.2
2014-04-01  26115.3
2014-07-01  27038.3
2014-10-01  27217.0
2015-01-01  27583.1
2015-04-01  28040.0
2015-07-01  28619.1
2015-10-01  28991.1
2016-01-01  29328.5
2016-04-01  29529.7
2016-07-01  29961.4
2016-10-01  30727.1
2017-01-01  31027.4
2017-04-01  31878.2
2017-07-01  31862.1
2017-10-01  32113.0
2018-01-01  32955.5
2018-04-01  33732.5
