Title:               Quarterly Weighted Average of Total Loans and Leases, Net of Unearned Income for Commercial Banks in North Carolina
Series ID:           NCQWATLLNUI
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1984-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:02 AM CST
Notes:               This series represents Total Loans and Leases, Net of Unearned Income
                     call item RCFD2122 that has been weighted each quarter to smooth out
                     the fluctuations.
                     
                     Geographic location is determined by Abbreviated State Name call item
                     RSSD9200 = 'NC' representing two character state abbreviation of North
                     Carolina.
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE             VALUE
1984-01-01    19542754
1984-04-01    20458963
1984-07-01    20926710
1984-10-01    21566386
1985-01-01    24490243
1985-04-01    24981199
1985-07-01    25516987
1985-10-01    24636427
1986-01-01    29276969
1986-04-01    29599861
1986-07-01    29943722
1986-10-01    30472136
1987-01-01    33267629
1987-04-01    33630003
1987-07-01    34141857
1987-10-01    34681965
1988-01-01    37448282
1988-04-01    38003649
1988-07-01    38554935
1988-10-01    39109811
1989-01-01    42462857
1989-04-01    43397433
1989-07-01    44201343
1989-10-01    44779926
1990-01-01    47648182
1990-04-01    48275684
1990-07-01    48753345
1990-10-01    47701101
1991-01-01    51257578
1991-04-01    51331105
1991-07-01    51451726
1991-10-01    51550003
1992-01-01    52654089
1992-04-01    52799852
1992-07-01    52986372
1992-10-01    53146522
1993-01-01    54618634
1993-04-01    55527440
1993-07-01    56484334
1993-10-01    57154639
1994-01-01    61806580
1994-04-01    62731324
1994-07-01    64075369
1994-10-01    65411058
1995-01-01    76131741
1995-04-01    77347390
1995-07-01    83678597
1995-10-01    89845855
1996-01-01   112068203
1996-04-01   112868532
1996-07-01   112995797
1996-10-01   114336858
1997-01-01   127336122
1997-04-01   153286009
1997-07-01   179413667
1997-10-01   197767298
1998-01-01   278225608
1998-04-01   304021126
1998-07-01   324338576
1998-10-01   338836673
1999-01-01   400533658
1999-04-01   402812231
1999-07-01   433029039
1999-10-01   472390143
2000-01-01   603131479
2000-04-01   610574661
2000-07-01   617783524
2000-10-01   620952039
2001-01-01   624269088
2001-04-01   622256491
2001-07-01   616626487
2001-10-01   598698606
2002-01-01   548817348
2002-04-01   514176721
2002-07-01   529153648
2002-10-01   539132325
2003-01-01   578915580
2003-04-01   585568040
2003-07-01   592586393
2003-10-01   596540946
2004-01-01   615795417
2004-04-01   621177177
2004-07-01   627431386
2004-10-01   635553037
2005-01-01   701941992
2005-04-01   746032938
2005-07-01   786991696
2005-10-01   815828380
2006-01-01   940610498
2006-04-01   964771067
2006-07-01   983072286
2006-10-01  1000226965
2007-01-01  1081754901
2007-04-01  1093933403
2007-07-01  1107211098
2007-10-01  1127220942
2008-01-01  1242538724
2008-04-01  1242222739
2008-07-01  1241631132
2008-10-01  1243023588
2009-01-01  1237934465
2009-04-01  1239021060
2009-07-01  1246034562
2009-10-01  1247365390
2010-01-01   910320935
2010-04-01   905778221
2010-07-01   901454473
2010-10-01   899056254
2011-01-01   900805478
2011-04-01   902831827
2011-07-01   906332815
2011-10-01   908636728
2012-01-01   887030434
2012-04-01   880912047
2012-07-01   880450178
2012-10-01   883449242
2013-01-01   912541642
2013-04-01   919498883
2013-07-01   926343088
2013-10-01   929837347
2014-01-01   932172813
2014-04-01   929725665
2014-07-01   924850675
2014-10-01   935001055
2015-01-01  1020717642
2015-04-01  1024539829
2015-07-01  1029868577
2015-10-01  1034611888
2016-01-01  1069423949
2016-04-01  1075070429
2016-07-01  1080842643
2016-10-01  1082298902
2017-01-01  1088871911
2017-04-01  1086309294
2017-07-01  1091236325
2017-10-01  1086047157
2018-01-01  1106315715
2018-04-01  1106211480
2018-07-01  1105745601
