Title:               Recoveries on Allowance for Loan and Lease Losses for Commercial Banks in North Carolina
Series ID:           NCRALLL
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1984-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:02 AM CST
Notes:               This series represents Recoveries on Allowance for Loan and Lease
                     Losses call item RIAD4605.
                     
                     Geographic location is determined by Abbreviated State Name call item
                     RSSD9200 = 'NC' representing two character state abbreviation of North
                     Carolina.
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE          VALUE
1984-01-01     4923
1984-04-01    10609
1984-07-01    15178
1984-10-01    21555
1985-01-01     5439
1985-04-01    11067
1985-07-01    20214
1985-10-01    25631
1986-01-01     6430
1986-04-01    13159
1986-07-01    19280
1986-10-01    24435
1987-01-01     6621
1987-04-01    11732
1987-07-01    18338
1987-10-01    30693
1988-01-01    16482
1988-04-01    24543
1988-07-01    32264
1988-10-01    42219
1989-01-01     7541
1989-04-01    15522
1989-07-01    24771
1989-10-01    33614
1990-01-01     9174
1990-04-01    17287
1990-07-01    23434
1990-10-01    32760
1991-01-01     7462
1991-04-01    14965
1991-07-01    23669
1991-10-01    36732
1992-01-01    10535
1992-04-01    33115
1992-07-01    42789
1992-10-01    55636
1993-01-01     8923
1993-04-01    24832
1993-07-01    34351
1993-10-01    56499
1994-01-01    15870
1994-04-01    36375
1994-07-01    47254
1994-10-01    59004
1995-01-01    13856
1995-04-01    30453
1995-07-01    94214
1995-10-01   123133
1996-01-01    27522
1996-04-01    67572
1996-07-01    98391
1996-10-01   125768
1997-01-01    24416
1997-04-01   127613
1997-07-01   234452
1997-10-01   347977
1998-01-01    81021
1998-04-01   201519
1998-07-01   288659
1998-10-01   436858
1999-01-01   109777
1999-04-01   236074
1999-07-01   454668
1999-10-01   712901
2000-01-01   181609
2000-04-01   379338
2000-07-01   560231
2000-10-01   744214
2001-01-01   178580
2001-04-01   388250
2001-07-01   527589
2001-10-01   686613
2002-01-01   262024
2002-04-01   459215
2002-07-01   677923
2002-10-01   847622
2003-01-01   182374
2003-04-01   379035
2003-07-01   618824
2003-10-01   893868
2004-01-01   212987
2004-04-01   393393
2004-07-01   599552
2004-10-01   771778
2005-01-01   168172
2005-04-01   573475
2005-07-01   843626
2005-10-01  1161880
2006-01-01   217393
2006-04-01   560516
2006-07-01   822159
2006-10-01  1064364
2007-01-01   262382
2007-04-01   530697
2007-07-01   797416
2007-10-01  1076548
2008-01-01   297888
2008-04-01   615019
2008-07-01   941244
2008-10-01   962689
2009-01-01   446272
2009-04-01   907799
2009-07-01  1382447
2009-10-01  1945142
2010-01-01   453555
2010-04-01   923940
2010-07-01  1322087
2010-10-01  1890695
2011-01-01   603660
2011-04-01  1234068
2011-07-01  1812679
2011-10-01  2441678
2012-01-01   455894
2012-04-01   958542
2012-07-01  1338685
2012-10-01  1705669
2013-01-01   329833
2013-04-01   758672
2013-07-01  1220859
2013-10-01  1750729
2014-01-01   357468
2014-04-01   951724
2014-07-01  1438726
2014-10-01  2706197
2015-01-01   471699
2015-04-01   974950
2015-07-01  1443169
2015-10-01  1848568
2016-01-01   462701
2016-04-01   893821
2016-07-01  1315893
2016-10-01  1758738
2017-01-01   411634
2017-04-01   886192
2017-07-01  1352573
2017-10-01  1743810
2018-01-01   416872
2018-04-01   829965
2018-07-01  1267704
