Title:               Real Gross Domestic Product by Industry: Private Industries: Finance, Insurance, Real Estate, Rental, and Leasing: Real Estate and Rental and Leasing for North Carolina
Series ID:           NCRERENTLEARQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Chained 2012 Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:09 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01  37037.8
2005-04-01  37513.4
2005-07-01  37922.4
2005-10-01  38608.7
2006-01-01  38073.2
2006-04-01  38586.7
2006-07-01  39479.2
2006-10-01  41129.0
2007-01-01  41300.1
2007-04-01  41906.7
2007-07-01  42968.0
2007-10-01  43854.1
2008-01-01  43982.0
2008-04-01  44833.4
2008-07-01  44847.0
2008-10-01  44977.3
2009-01-01  44980.6
2009-04-01  44051.1
2009-07-01  44208.0
2009-10-01  44383.3
2010-01-01  45234.4
2010-04-01  46137.2
2010-07-01  46637.2
2010-10-01  47620.1
2011-01-01  47379.7
2011-04-01  48715.0
2011-07-01  48926.2
2011-10-01  49879.9
2012-01-01  49443.2
2012-04-01  49569.6
2012-07-01  49757.5
2012-10-01  49139.6
2013-01-01  50016.7
2013-04-01  49889.4
2013-07-01  50393.8
2013-10-01  50168.9
2014-01-01  49763.5
2014-04-01  49763.5
2014-07-01  50114.0
2014-10-01  50698.7
2015-01-01  50871.5
2015-04-01  51204.0
2015-07-01  51599.1
2015-10-01  51802.3
2016-01-01  51698.8
2016-04-01  52246.5
2016-07-01  52286.1
2016-10-01  52189.4
2017-01-01  52429.7
2017-04-01  52787.8
2017-07-01  52876.2
2017-10-01  53112.8
2018-01-01  53480.0
2018-04-01  54160.4
