Title:               Real Gross Domestic Product by Industry: Private Industries: Retail Trade for North Carolina
Series ID:           NCRETAILRQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Chained 2012 Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:09 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01  23691.1
2005-04-01  24363.6
2005-07-01  24979.4
2005-10-01  24379.4
2006-01-01  24562.2
2006-04-01  24831.2
2006-07-01  24376.0
2006-10-01  24847.2
2007-01-01  24706.5
2007-04-01  24243.9
2007-07-01  24302.5
2007-10-01  24432.9
2008-01-01  24594.5
2008-04-01  24205.6
2008-07-01  23882.5
2008-10-01  23240.1
2009-01-01  22210.1
2009-04-01  22364.7
2009-07-01  22236.3
2009-10-01  22890.9
2010-01-01  22946.3
2010-04-01  23105.5
2010-07-01  23104.5
2010-10-01  22849.5
2011-01-01  22402.8
2011-04-01  22260.6
2011-07-01  21941.1
2011-10-01  22248.0
2012-01-01  22623.3
2012-04-01  22208.3
2012-07-01  22620.3
2012-10-01  22495.6
2013-01-01  23426.5
2013-04-01  23249.2
2013-07-01  23232.9
2013-10-01  23658.9
2014-01-01  23676.5
2014-04-01  24132.9
2014-07-01  24222.9
2014-10-01  24298.3
2015-01-01  24513.6
2015-04-01  24681.4
2015-07-01  25227.8
2015-10-01  25094.9
2016-01-01  25908.1
2016-04-01  26106.5
2016-07-01  26252.8
2016-10-01  26563.8
2017-01-01  26837.4
2017-04-01  26794.6
2017-07-01  27335.0
2017-10-01  27311.2
2018-01-01  28000.8
2018-04-01  27974.0
